EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,advs/mean_Mean,advs/mean_Std,advs/mean_Max,advs/mean_Min,advs/std_Mean,advs/std_Std,advs/std_Max,advs/std_Min,advs/max_Mean,advs/max_Std,advs/max_Max,advs/max_Min,advs/min_Mean,advs/min_Std,advs/min_Max,advs/min_Min,Training/vf_loss_Mean,Training/vf_loss_Std,Training/vf_loss_Max,Training/vf_loss_Min,grad_norm/vf_Mean,grad_norm/vf_Std,grad_norm/vf_Max,grad_norm/vf_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,logprob/mean_Mean,logprob/mean_Std,logprob/mean_Max,logprob/mean_Min,logprob/std_Mean,logprob/std_Std,logprob/std_Max,logprob/std_Min,logprob/max_Mean,logprob/max_Std,logprob/max_Max,logprob/max_Min,logprob/min_Mean,logprob/min_Std,logprob/min_Max,logprob/min_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,ratio/max_Mean,ratio/max_Std,ratio/max_Max,ratio/max_Min,ratio/min_Mean,ratio/min_Std,ratio/min_Max,ratio/min_Min,grad_norm/pf_Mean,grad_norm/pf_Std,grad_norm/pf_Max,grad_norm/pf_Min
119,25.602848768234253,245760,-6130.20964,-22.57180,nan,2.72372,3.94725,18.93171,4601.00000,-3.82366,0.49421,-2.35200,-5.14278,4.28156,0.43598,5.85822,3.05948,6.42875,1.60857,8.63548,1.86010,-14.54303,1.92745,-9.33759,-18.87477,8.42537,4.77618,39.78426,2.92826,274.11383,141.58442,1369.06226,90.37141,0.00176,0.03337,0.12730,-0.07837,8.88091,0.32834,9.79944,7.99234,2.79909,0.26992,3.50449,2.05637,14.15553,0.72967,15.63103,12.62480,0.87829,1.70451,5.49641,-4.08416,-1.83863,0.00035,-1.83807,-1.83907,0.09069,0.00039,0.09118,0.08997,-1.65352,0.00433,-1.64534,-1.65970,-2.00956,0.00109,-2.00667,-2.01139,1.99089,0.36221,3.40429,1.00000,0.43379,0.09614,1.00000,0.19778,8.59906,1.67014,15.24720,4.59252
120,26.63745903968811,247808,-4735.81033,958.74422,nan,2.85259,3.90022,19.88438,4344.00000,-1.01435,0.69487,0.68284,-3.72342,5.90832,1.26374,11.11267,3.36523,13.00537,5.20807,25.55758,5.45156,-23.80529,6.39322,-6.41741,-33.47902,17.35212,7.83727,54.00928,6.03485,336.55160,120.25481,987.08234,125.45828,0.00423,0.03208,0.10317,-0.05038,8.76806,0.37610,9.73790,7.53674,2.86898,0.28907,3.83922,2.03029,14.12298,0.66002,15.88759,12.34983,0.54567,2.28436,4.77342,-7.20110,-1.83764,0.00021,-1.83729,-1.83810,0.09032,0.00021,0.09076,0.08999,-1.66296,0.00368,-1.65818,-1.66933,-2.00549,0.00206,-2.00220,-2.00935,2.07003,0.42180,4.81991,1.00000,0.42239,0.10885,1.00000,0.15105,7.49918,2.16523,14.38228,3.26507
121,26.296658515930176,249856,-4683.36735,514.45888,nan,2.64263,4.13972,19.51414,5000.00000,-0.18580,0.37672,0.97444,-1.32504,3.90396,0.32044,4.78345,3.04507,10.22890,2.02215,14.27834,5.79145,-8.38579,1.32519,-5.68921,-11.25705,6.61727,2.35620,22.91743,3.29749,305.00453,125.98361,1031.12012,100.98470,0.00928,0.03302,0.12643,-0.07388,8.88896,0.36753,9.79916,7.64250,2.88468,0.30642,3.74144,1.95481,14.30069,0.72606,16.11813,12.11115,0.50276,2.39837,5.12577,-8.02271,-1.83787,0.00018,-1.83753,-1.83828,0.09102,0.00060,0.09198,0.09004,-1.66821,0.00045,-1.66729,-1.66934,-2.00082,0.00128,-1.99925,-2.00347,2.02918,0.40096,3.89149,1.00000,0.42987,0.10346,1.00000,0.17911,8.85953,1.54603,14.65352,5.63344
122,25.919943809509277,251904,-4715.00807,464.47846,nan,2.57648,3.70916,19.63414,4767.25000,-0.94295,0.70703,0.64702,-2.71311,4.35011,0.47491,5.58551,3.17525,8.63851,1.58762,11.39524,5.07914,-11.85786,2.38123,-5.63320,-15.97621,7.04658,3.34420,23.39000,2.97137,341.80987,138.04121,862.95819,87.28144,0.00655,0.03301,0.11696,-0.05806,8.84973,0.37679,9.82216,7.74320,2.88265,0.31927,4.07146,2.14321,14.24191,0.78929,15.73931,12.43340,0.42125,2.68573,5.72709,-9.11518,-1.83632,0.00084,-1.83507,-1.83785,0.09364,0.00088,0.09491,0.09197,-1.66272,0.00291,-1.65911,-1.66769,-2.00242,0.00176,-2.00002,-2.00525,2.18765,0.54878,5.05461,1.00000,0.40555,0.11097,1.00000,0.17010,8.61395,1.71202,14.78784,4.71236
123,26.17049789428711,253952,-6107.38374,-168.83432,nan,2.58162,3.96098,19.62767,4996.25000,-4.41467,0.50255,-2.96224,-5.65512,6.15295,0.50262,7.75557,4.76610,8.50275,1.25707,10.73452,4.39383,-19.03167,2.29713,-11.87068,-22.93341,8.92819,7.69536,66.54056,3.42444,263.24724,168.18172,1450.72168,77.08320,0.00312,0.03319,0.11071,-0.07441,8.72717,0.36721,9.82065,7.47477,2.89482,0.30269,4.09257,2.21465,14.01878,0.66117,15.52774,12.38597,0.19325,1.91933,4.26727,-5.95762,-1.83500,0.00025,-1.83452,-1.83544,0.09579,0.00044,0.09648,0.09489,-1.65456,0.00223,-1.65132,-1.65917,-2.00471,0.00085,-2.00300,-2.00613,2.13092,0.47252,3.93236,1.00000,0.38624,0.11770,1.00000,0.11530,8.83762,1.62021,14.20050,4.78729
124,25.65809154510498,256000,-5613.52750,1187.24441,nan,2.63301,3.90254,19.12238,4986.50000,0.10279,0.65171,1.74973,-1.93338,5.16443,0.98781,9.58754,3.70872,12.67358,3.16852,19.58180,6.07197,-14.68346,8.86561,-5.82640,-54.39931,9.43801,10.30395,82.75394,2.93473,202.39235,77.83334,497.90338,81.86842,0.00528,0.03425,0.11860,-0.05653,8.78369,0.36860,9.73791,7.65531,2.89671,0.32101,3.99727,2.24925,13.95805,0.59049,15.24508,12.13682,0.23051,2.45333,4.30338,-6.25763,-1.83385,0.00070,-1.83293,-1.83528,0.09659,0.00035,0.09712,0.09596,-1.64946,0.00194,-1.64672,-1.65273,-2.00476,0.00101,-2.00289,-2.00633,2.04050,0.40833,4.04074,1.00000,0.41984,0.10830,1.00000,0.17418,8.55047,1.98686,21.06815,3.13559
125,27.086002588272095,258048,-6197.97560,303.92405,nan,2.52468,3.78604,20.77512,4499.25000,-3.13796,0.56543,-1.28172,-4.48016,6.17336,0.51622,7.63026,4.43790,8.32875,1.76433,12.23877,3.89026,-18.78448,1.62940,-13.56340,-21.50034,8.76868,6.61931,61.74987,2.48096,191.99510,91.29517,737.66949,74.34354,0.01441,0.03768,0.20465,-0.06152,8.58076,0.40192,9.69499,7.38253,2.85755,0.25398,3.62988,2.12587,14.12578,0.75587,16.03228,12.17310,1.06144,1.43597,4.84342,-2.50036,-1.83200,0.00034,-1.83164,-1.83293,0.09707,0.00034,0.09767,0.09660,-1.64812,0.00077,-1.64715,-1.65045,-2.00269,0.00077,-2.00128,-2.00388,2.18593,0.51560,5.44012,1.00000,0.39678,0.11001,1.00000,0.13663,9.21663,1.95012,16.25817,4.13849
126,26.894728183746338,260096,-4763.20640,-893.69435,nan,2.58644,4.07875,20.22930,4473.75000,-10.59889,0.85440,-8.27903,-13.32092,14.05304,1.14987,17.68035,10.22818,10.82956,3.35294,20.15930,4.49938,-47.09449,4.13642,-32.17988,-54.43490,31.92552,53.29260,470.53143,4.72164,317.15586,303.57665,2286.20654,82.50742,0.01013,0.03484,0.14269,-0.05900,8.65715,0.36534,9.67706,7.23405,2.85255,0.25996,3.57066,1.94804,13.96662,0.66148,15.78843,12.25136,0.96119,1.52765,4.89238,-2.49863,-1.82922,0.00136,-1.82734,-1.83185,0.09826,0.00020,0.09853,0.09767,-1.64718,0.00118,-1.64558,-1.65008,-2.00194,0.00048,-2.00099,-2.00280,2.06874,0.46387,4.06192,1.00000,0.41526,0.11047,1.00000,0.13792,9.42508,1.88927,19.49523,5.75056
127,27.024460315704346,262144,-5316.14601,-2787.33217,nan,2.97831,3.98678,20.05921,4010.75000,-22.48887,1.33595,-18.78335,-26.32087,23.69613,0.98458,26.23106,20.34680,7.18991,1.42550,10.31798,3.72661,-66.48325,1.15133,-62.19322,-68.37305,237.66317,187.66488,1181.94958,72.71027,479.51454,511.47628,3350.30444,137.99844,0.00943,0.03500,0.11620,-0.06785,8.58091,0.35204,9.66444,7.70474,2.92836,0.30581,3.82654,1.89981,13.81207,0.67614,15.31142,12.31366,-0.08714,2.06662,4.64430,-4.77696,-1.82641,0.00041,-1.82586,-1.82733,0.09862,0.00016,0.09912,0.09835,-1.64465,0.00104,-1.64335,-1.64685,-2.00067,0.00131,-1.99878,-2.00326,1.97884,0.38943,4.00613,1.00000,0.44338,0.10325,1.00000,0.19720,9.84470,1.59230,14.48365,6.05725
128,26.617512941360474,264192,-7482.24014,618.35302,nan,2.92616,4.01179,19.67941,4730.00000,-0.89093,0.93968,1.19277,-4.59049,8.60526,1.26158,15.21692,6.20130,15.05554,2.34220,20.07108,9.50244,-24.39643,8.01545,-15.79431,-61.96687,17.50310,25.16693,183.71957,4.40133,419.95053,296.02584,2593.22559,105.84406,0.00332,0.03253,0.11662,-0.07236,8.58657,0.34495,9.56874,7.81960,2.86836,0.29947,3.83937,2.12569,13.86552,0.72354,15.55574,12.23237,0.29458,2.41417,4.75654,-8.03746,-1.82587,0.00022,-1.82532,-1.82634,0.09914,0.00022,0.09955,0.09879,-1.64143,0.00106,-1.63963,-1.64372,-1.99994,0.00108,-1.99795,-2.00165,2.02062,0.38220,3.46527,1.00000,0.42169,0.11495,1.00000,0.11413,8.47860,1.72260,14.34570,3.85570
129,26.939869165420532,266240,-7580.70423,570.98295,nan,2.72376,3.92297,20.29290,4570.25000,-5.68007,0.48048,-4.26847,-7.00169,6.48159,0.46672,7.77302,5.01310,6.24066,1.94106,11.52101,2.40459,-21.08691,2.47214,-15.46766,-26.64251,9.98021,10.06422,92.90487,3.24826,323.18995,207.80592,1659.48315,104.42792,0.01142,0.03144,0.10292,-0.05734,8.59195,0.35387,9.60638,7.60457,2.89018,0.26707,3.61615,2.07873,13.73552,0.58917,15.21197,12.09473,0.08289,1.64259,4.39710,-4.11702,-1.82360,0.00092,-1.82178,-1.82533,0.10031,0.00053,0.10103,0.09942,-1.63517,0.00277,-1.63125,-1.63965,-1.99646,0.00214,-1.99283,-2.00089,2.01205,0.43980,4.33122,1.00000,0.44836,0.10915,1.00000,0.15676,9.24439,1.46787,14.20081,6.33197
130,26.835421323776245,268288,-5697.92345,170.71380,nan,2.80455,4.07995,19.95076,4546.75000,-6.67471,0.72559,-4.51874,-8.80286,6.09525,0.55253,7.65431,4.67553,7.72633,2.35563,11.79066,-0.10220,-23.14041,3.77054,-14.03573,-31.23412,12.87715,10.01440,86.98332,4.03773,433.55192,255.58926,1818.39673,93.44286,0.00601,0.03474,0.11190,-0.06426,8.45661,0.37504,9.55468,7.41961,2.89577,0.31665,3.83447,2.22173,13.64425,0.59186,14.86909,11.77121,0.05000,2.13226,3.89704,-5.99333,-1.81933,0.00136,-1.81729,-1.82178,0.10146,0.00049,0.10212,0.10057,-1.62937,0.00111,-1.62773,-1.63127,-1.99579,0.00269,-1.99212,-1.99985,2.00623,0.35031,3.42275,1.00000,0.43860,0.09720,1.00000,0.17460,8.83934,1.67270,14.58696,4.41475
131,26.800883054733276,270336,-6677.15938,613.05291,nan,2.72585,4.03225,20.04261,5000.00000,-2.16761,0.49315,-0.53578,-3.68572,5.59957,0.51977,7.15580,4.07810,12.93916,3.74221,19.92603,5.43265,-14.40976,2.11667,-9.11128,-18.11264,12.11270,5.21233,47.90287,5.74557,368.40624,145.26553,917.38342,107.83163,0.00537,0.03326,0.10858,-0.07019,8.46345,0.34232,9.65812,7.39963,2.91851,0.26505,3.75039,2.15058,13.87993,0.71525,15.57644,12.32610,0.23125,1.69830,3.78018,-3.94162,-1.81608,0.00059,-1.81522,-1.81729,0.10052,0.00083,0.10197,0.09936,-1.63135,0.00180,-1.62823,-1.63424,-1.99276,0.00359,-1.98880,-1.99971,2.02161,0.35646,3.29891,1.00000,0.44391,0.10877,1.00000,0.16678,8.99929,1.45051,12.72999,5.52373
132,27.144015789031982,272384,-6621.84368,1241.18142,nan,2.53414,3.94247,20.66718,4386.00000,1.48639,0.53257,3.07855,-0.15540,3.85722,0.73722,7.51111,2.50954,11.30488,2.96162,19.64101,5.19495,-8.44590,4.42702,-3.90222,-31.76267,8.48240,6.43079,46.09578,3.03201,249.78165,106.75992,1023.80786,68.65267,0.00269,0.03102,0.09107,-0.05900,8.45536,0.36060,9.53316,7.44819,2.83158,0.30328,3.77742,2.12945,13.56371,0.66048,15.28191,12.02137,-0.14366,2.54484,5.44866,-8.86222,-1.81344,0.00109,-1.81204,-1.81572,0.09968,0.00024,0.10006,0.09908,-1.63181,0.00143,-1.62933,-1.63484,-1.99315,0.00242,-1.98855,-1.99795,2.03906,0.42646,4.48405,1.00000,0.47450,0.09991,1.00000,0.20566,8.36974,1.67318,13.43619,2.92301
133,26.12379217147827,274432,-7370.29998,1522.59968,nan,2.70211,3.83170,19.58982,4444.25000,0.14880,0.32140,1.14401,-0.84909,3.43496,0.34106,4.47263,2.53451,7.27532,2.00437,14.13912,4.09246,-8.95111,1.57686,-5.09547,-11.63444,5.48419,2.17015,14.91277,2.16593,184.58589,68.38833,404.66833,67.70998,0.00392,0.03205,0.11660,-0.06348,8.41133,0.36962,9.62369,7.26090,2.88638,0.27908,3.59686,2.03009,13.71384,0.77858,16.35627,12.03906,0.14179,2.13732,4.58830,-7.26002,-1.81074,0.00072,-1.80969,-1.81210,0.09842,0.00078,0.10010,0.09761,-1.63132,0.00093,-1.62923,-1.63288,-1.99294,0.00250,-1.99025,-1.99826,1.97264,0.33143,3.05580,1.00000,0.46040,0.09766,1.00000,0.21757,8.69860,1.64136,14.59474,4.88350
134,26.156683444976807,276480,-7551.18585,1099.29954,nan,2.64480,3.94211,19.56962,4381.25000,-2.19525,0.57868,-0.77182,-3.81346,4.58645,0.40124,5.70406,3.74039,7.27737,2.21957,11.54626,2.96929,-14.55872,2.17837,-9.75150,-19.86179,9.48615,3.53632,42.87032,4.63692,280.07638,113.22471,768.26227,102.49130,0.00429,0.03359,0.13273,-0.07820,8.44180,0.35556,9.47642,7.47041,2.75246,0.25449,3.34049,2.02323,13.79424,0.76772,15.79385,11.95227,0.88659,1.71180,4.73555,-3.30124,-1.80818,0.00105,-1.80672,-1.80998,0.09712,0.00031,0.09787,0.09683,-1.62971,0.00179,-1.62713,-1.63296,-1.98305,0.00419,-1.97750,-1.99199,2.00068,0.35977,3.84201,1.00000,0.43367,0.10097,1.00000,0.20425,8.76055,1.80940,14.63743,4.79620
135,26.82158064842224,278528,-5311.71971,447.40836,nan,2.83627,4.02927,19.95580,4112.50000,-3.51572,0.46863,-2.20985,-4.76860,6.94128,0.51161,8.32362,5.43535,6.91969,1.45624,10.39004,3.67980,-21.74682,2.16584,-16.18273,-25.12963,10.16975,7.42870,61.89371,3.44589,289.11195,168.93545,1321.99976,94.92930,0.00384,0.03904,0.19588,-0.07860,8.37403,0.37131,9.34723,6.99078,2.89494,0.29570,3.83946,2.13758,13.66789,0.67092,15.26571,12.10353,0.23737,1.97212,4.35282,-4.56617,-1.80496,0.00098,-1.80360,-1.80671,0.09782,0.00045,0.09844,0.09695,-1.62043,0.00293,-1.61747,-1.62705,-1.98172,0.00242,-1.97781,-1.98547,1.96734,0.36219,3.94071,1.00000,0.38228,0.11984,1.00000,0.08008,8.81655,2.15542,19.84730,4.75427
136,25.96795630455017,280576,-4857.94695,1501.28115,nan,2.48245,3.98215,19.50317,4832.50000,1.36371,0.55249,2.83642,-0.59466,3.89490,0.61346,6.72666,2.66709,10.59186,1.97258,15.19456,6.65370,-10.14104,5.96859,-2.76386,-38.65366,7.65221,4.69396,35.43335,2.49425,243.30673,101.74210,654.58826,75.44785,0.00852,0.03383,0.12946,-0.07374,8.33251,0.37402,9.28477,7.12744,2.86620,0.25901,3.70745,2.20789,13.61000,0.66279,15.12022,11.37520,0.70101,1.42618,3.92251,-3.32584,-1.80403,0.00015,-1.80372,-1.80435,0.09850,0.00030,0.09905,0.09797,-1.61796,0.00073,-1.61656,-1.61942,-1.98175,0.00106,-1.97991,-1.98513,2.04402,0.43141,5.90904,1.00000,0.44106,0.10380,1.00000,0.14975,8.66752,1.79987,15.53770,3.77912
137,26.124374389648438,282624,-5229.70073,1354.69115,nan,2.60624,3.77363,19.74429,4668.00000,-1.30497,0.41422,-0.17163,-2.41152,3.77530,0.35384,4.86420,2.67652,6.96012,1.24440,9.51069,3.73015,-10.66058,2.00058,-6.43392,-17.38283,6.76260,2.22433,17.20996,3.33847,234.67912,96.95755,608.51831,68.96246,0.00975,0.03060,0.10231,-0.06810,8.37840,0.35176,9.33010,7.32243,2.90028,0.29884,3.78825,2.21341,13.62386,0.72135,15.57677,11.95570,-0.37322,2.02062,4.23697,-5.02607,-1.80379,0.00011,-1.80358,-1.80398,0.09921,0.00014,0.09957,0.09900,-1.61379,0.00108,-1.61250,-1.61654,-1.98390,0.00182,-1.98077,-1.98620,1.98039,0.38245,3.97116,1.00000,0.45367,0.10302,1.00000,0.19157,9.14885,1.51014,15.54610,5.70791
138,25.950605630874634,284672,-4241.96542,1056.73093,nan,2.60257,3.96124,19.38655,4318.75000,-1.67473,0.44721,-0.53674,-2.75924,4.61954,0.33578,5.57970,3.72377,6.53181,1.15053,8.84460,3.45938,-13.78880,1.33930,-8.63108,-16.12169,6.59983,3.02758,27.83877,2.41766,221.93908,97.43202,809.96387,71.85712,0.00641,0.03788,0.15446,-0.06783,8.41942,0.34415,9.73986,7.23135,2.92241,0.27660,4.05732,2.29483,13.83173,0.60836,15.53017,12.17159,0.24185,2.06304,5.01213,-8.44098,-1.80149,0.00115,-1.80012,-1.80359,0.09869,0.00021,0.09920,0.09829,-1.61446,0.00044,-1.61344,-1.61542,-1.97940,0.00320,-1.97487,-1.98482,1.99961,0.35251,3.19346,1.00000,0.45023,0.09401,1.00000,0.22732,8.79153,1.77347,19.48221,5.01047
139,26.11462688446045,286720,-1405.88108,1094.63778,nan,2.61574,3.87641,19.62232,4596.00000,-1.27961,0.37366,-0.23202,-2.32156,4.78661,0.34959,5.74127,3.83689,6.61977,1.04419,8.60096,4.00376,-13.56519,1.51734,-9.53683,-15.98195,5.30600,3.41085,29.48594,1.92699,209.06703,94.24191,673.66760,68.62026,0.00187,0.03059,0.10184,-0.06708,8.33689,0.35250,9.27844,7.22347,2.82700,0.29621,3.88853,2.11448,13.61157,0.74068,15.65227,11.59948,0.33301,1.99814,4.20927,-7.31921,-1.79709,0.00162,-1.79491,-1.80019,0.09832,0.00011,0.09856,0.09813,-1.61276,0.00122,-1.61095,-1.61485,-1.97168,0.00211,-1.96847,-1.97575,2.01281,0.38420,3.55031,1.00000,0.44673,0.09426,1.00000,0.18716,8.76397,1.52335,14.09558,5.56414
140,25.14375329017639,288768,-842.18165,1676.25238,nan,2.46964,3.76274,18.91122,4529.75000,1.34425,0.42166,2.50270,0.16105,3.85083,0.58574,6.62312,2.76854,12.93032,5.68748,25.05971,5.24741,-7.99370,4.21984,-4.08752,-29.96050,8.34108,3.78242,37.00764,3.88178,200.12280,78.50716,566.18591,71.32750,-0.00164,0.03238,0.09984,-0.07165,8.14246,0.36519,9.06662,6.92251,2.85684,0.29654,3.95508,2.07453,13.38393,0.61899,14.86373,11.76085,-0.20770,2.29999,4.32864,-6.44507,-1.79525,0.00016,-1.79493,-1.79555,0.09786,0.00033,0.09834,0.09721,-1.61163,0.00054,-1.61041,-1.61260,-1.96200,0.00391,-1.95586,-1.96848,2.00075,0.38817,3.41966,1.00000,0.45361,0.09929,1.00000,0.19794,8.36702,1.84508,13.53859,3.82859
141,26.052865743637085,290816,-778.90007,1304.94923,nan,2.60425,3.91047,19.53790,4763.00000,-0.53632,0.33934,0.43636,-1.51619,3.67351,0.33588,4.52206,2.75958,8.12330,1.87096,12.55769,4.40614,-9.55644,1.04834,-6.08428,-10.90960,6.05354,2.17404,20.42052,2.41878,224.00751,98.14858,644.55890,75.85682,0.00146,0.03253,0.10594,-0.06936,8.25419,0.32977,9.17529,7.32711,2.80786,0.28307,3.66386,2.12489,13.45180,0.76729,15.55735,11.41330,0.08611,2.25706,4.23311,-6.95513,-1.79483,0.00021,-1.79449,-1.79532,0.09791,0.00053,0.09881,0.09715,-1.60536,0.00327,-1.60118,-1.61101,-1.95792,0.00135,-1.95563,-1.96051,2.03256,0.38987,3.75832,1.00000,0.43062,0.10544,1.00000,0.21124,8.59455,1.63561,13.04774,4.73782
142,25.5970721244812,292864,-442.67388,1341.88352,nan,2.57922,3.80545,19.21224,4705.25000,-0.21081,0.40120,1.10639,-1.56732,3.39959,0.35158,4.71529,2.43269,7.29362,1.33155,10.36559,3.81397,-9.56350,2.45245,-3.82193,-15.55631,6.03457,1.90032,16.04211,2.69678,245.10855,99.42067,639.51788,66.70714,0.00316,0.03185,0.12035,-0.06803,8.21932,0.33534,9.09766,7.20308,2.82588,0.28947,3.57232,1.91244,13.53732,0.71350,15.28475,11.70313,0.01123,2.00774,3.88010,-5.92450,-1.79388,0.00052,-1.79303,-1.79485,0.09944,0.00048,0.10019,0.09862,-1.59652,0.00330,-1.59237,-1.60219,-1.95626,0.00150,-1.95360,-1.96003,1.95878,0.35990,3.49894,1.00000,0.46060,0.10327,1.00000,0.18619,8.86044,1.54029,13.27189,5.34123
143,26.02400851249695,294912,-985.20181,997.14350,nan,2.62392,3.84889,19.55104,5000.00000,-2.54040,0.55421,-1.32962,-4.35320,4.93378,0.41807,5.97400,3.78564,6.42471,1.41322,9.53240,2.64700,-16.58203,1.54077,-10.83012,-19.54914,7.03258,4.12265,40.95266,2.42859,250.55220,113.39721,766.98865,71.42286,0.00430,0.03260,0.11446,-0.06218,8.11125,0.33511,8.95211,6.95190,2.83022,0.27276,3.79217,1.91436,13.38061,0.72925,15.03142,11.37140,0.23081,1.66071,3.74937,-5.32550,-1.79274,0.00031,-1.79221,-1.79344,0.09987,0.00038,0.10046,0.09930,-1.58823,0.00214,-1.58547,-1.59296,-1.94932,0.00244,-1.94625,-1.95379,1.97540,0.37157,4.09647,1.00000,0.45487,0.09902,1.00000,0.20835,8.82741,1.78082,15.18055,5.08363
144,26.148330211639404,296960,-1362.04583,1111.93344,nan,2.63161,3.89648,19.62001,4507.00000,0.33892,0.73105,2.59545,-2.25442,4.88662,1.51306,12.93747,3.13197,9.70306,1.68034,12.65608,5.18132,-17.11680,11.47317,-5.84933,-76.16542,12.60895,21.37790,148.52905,4.04464,257.49494,104.83556,660.16595,105.64134,-0.00415,0.03335,0.13933,-0.07222,8.02669,0.35958,8.95082,6.94406,2.96065,0.29212,3.79750,2.26821,13.46614,0.67713,15.03744,11.96240,-0.43303,1.96173,3.30192,-6.05664,-1.79159,0.00024,-1.79118,-1.79219,0.09830,0.00071,0.09943,0.09724,-1.58885,0.00208,-1.58489,-1.59155,-1.95208,0.00271,-1.94660,-1.95531,2.00223,0.37994,3.70428,1.00000,0.42516,0.12601,1.00000,0.07982,8.07598,2.04231,14.14242,2.71511
145,25.32935118675232,299008,-2052.87272,938.40960,nan,2.57753,4.00768,18.74398,4508.75000,-2.85497,0.49019,-1.31174,-4.20733,6.75371,0.51577,7.94379,5.23529,9.33551,1.96327,14.16713,4.73318,-20.40309,1.65579,-14.75922,-23.93419,8.47310,6.42228,64.13907,2.57773,265.24270,140.35282,1278.84900,99.37860,-0.00301,0.03260,0.08989,-0.07520,8.20576,0.35379,9.21708,7.15701,2.81317,0.27953,3.64169,2.13727,13.45003,0.61129,14.84724,11.97974,0.34146,1.93744,4.24169,-4.60846,-1.78937,0.00089,-1.78837,-1.79121,0.09880,0.00071,0.09971,0.09722,-1.58783,0.00230,-1.58379,-1.59166,-1.95661,0.00065,-1.95501,-1.95773,1.99556,0.36202,3.27853,1.00000,0.43148,0.10532,1.00000,0.19746,8.57685,1.75295,14.40619,4.85819
146,24.956385135650635,301056,-2303.11639,615.59551,nan,2.52826,3.68476,18.74314,4309.75000,-4.51059,0.51541,-2.57126,-5.90687,5.71752,0.38069,6.77335,4.80288,6.18493,1.28243,8.17752,2.10436,-17.92526,1.76895,-13.53038,-22.85941,10.33403,6.86850,57.65386,4.29660,297.33055,147.08438,1221.56396,106.53358,-0.00314,0.03233,0.11549,-0.07300,8.11143,0.34501,8.94905,7.15770,2.88082,0.27157,3.65676,2.10092,13.36681,0.58201,14.89783,11.34903,-0.11294,1.88838,4.00042,-5.28308,-1.78676,0.00085,-1.78562,-1.78836,0.10232,0.00139,0.10425,0.09953,-1.58093,0.00150,-1.57882,-1.58373,-1.96035,0.00217,-1.95632,-1.96416,1.93290,0.34259,3.36221,1.00000,0.43324,0.09856,1.00000,0.19764,8.77250,1.47514,13.35436,4.89587
147,25.407751321792603,303104,-2470.55917,8.38470,nan,2.55219,3.58677,19.26855,4731.00000,-6.32836,0.50164,-4.87401,-7.73585,4.97640,0.38034,6.06874,3.98424,3.98252,1.23082,6.62606,0.93965,-19.45514,2.52157,-13.13683,-25.25033,9.41850,8.42556,71.24889,3.00058,293.40273,182.79048,1342.03125,86.18118,0.00144,0.03264,0.09255,-0.07214,8.12551,0.35359,9.24271,7.01441,2.81713,0.28428,3.52205,2.00525,13.52645,0.55586,14.57967,12.07852,0.12766,1.78966,4.23477,-4.39589,-1.78538,0.00023,-1.78477,-1.78581,0.10261,0.00079,0.10433,0.10151,-1.58036,0.00077,-1.57833,-1.58147,-1.95556,0.00478,-1.94730,-1.96426,2.09429,0.46383,4.05199,1.00000,0.40862,0.11614,1.00000,0.09972,8.85605,1.76733,15.73846,4.45371
148,25.142856121063232,305152,-2184.17481,1417.34820,nan,2.54491,3.67959,18.91819,4750.75000,0.98838,0.40076,1.94028,-0.37594,4.64524,0.77954,7.12645,3.10920,15.72897,7.40794,31.04557,6.57393,-10.59977,3.15416,-5.84968,-23.89414,9.44275,5.27661,42.13692,3.44546,234.09672,100.34458,872.62109,89.44635,-0.00513,0.03243,0.11503,-0.08271,8.16127,0.33537,9.33405,7.28492,2.86858,0.29934,3.84956,2.10519,13.39429,0.64962,15.06660,11.54511,-0.33960,2.39375,4.92942,-9.70830,-1.78425,0.00026,-1.78386,-1.78476,0.10229,0.00059,0.10325,0.10138,-1.58357,0.00225,-1.57961,-1.58687,-1.94290,0.00189,-1.94062,-1.94733,2.10296,0.47504,4.55254,1.00000,0.42647,0.11271,1.00000,0.18219,8.07685,1.89497,16.61351,3.55072
