EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,advs/mean_Mean,advs/mean_Std,advs/mean_Max,advs/mean_Min,advs/std_Mean,advs/std_Std,advs/std_Max,advs/std_Min,advs/max_Mean,advs/max_Std,advs/max_Max,advs/max_Min,advs/min_Mean,advs/min_Std,advs/min_Max,advs/min_Min,Training/vf_loss_Mean,Training/vf_loss_Std,Training/vf_loss_Max,Training/vf_loss_Min,grad_norm/vf_Mean,grad_norm/vf_Std,grad_norm/vf_Max,grad_norm/vf_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,logprob/mean_Mean,logprob/mean_Std,logprob/mean_Max,logprob/mean_Min,logprob/std_Mean,logprob/std_Std,logprob/std_Max,logprob/std_Min,logprob/max_Mean,logprob/max_Std,logprob/max_Max,logprob/max_Min,logprob/min_Mean,logprob/min_Std,logprob/min_Max,logprob/min_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,ratio/max_Mean,ratio/max_Std,ratio/max_Max,ratio/max_Min,ratio/min_Mean,ratio/min_Std,ratio/min_Max,ratio/min_Min,grad_norm/pf_Mean,grad_norm/pf_Std,grad_norm/pf_Max,grad_norm/pf_Min
10,28.88059425354004,22528,-121.67363,30.62237,nan,2.74363,4.20253,21.93427,5000.00000,0.40189,0.08927,0.67043,0.16016,1.19380,0.08677,1.43491,0.91932,2.75106,0.20217,3.17744,2.11663,-2.32217,0.40156,-1.42063,-3.11155,0.51231,0.29198,1.92409,0.21608,2.38834,0.81101,5.96445,1.25422,0.00988,0.03576,0.13267,-0.05799,11.97271,0.35768,13.17544,10.71395,2.84662,0.29776,4.01660,2.03222,17.26369,0.63493,18.53376,15.33307,3.80894,2.04741,7.72633,-3.62026,-2.06972,0.00022,-2.06923,-2.07007,0.03032,0.00019,0.03070,0.02995,-2.01550,0.00296,-2.00883,-2.01909,-2.12773,0.00203,-2.12279,-2.13066,1.96697,0.36902,3.09525,1.00000,0.44421,0.12135,1.00000,0.15411,7.27866,1.51460,12.68406,4.11395
11,27.27103853225708,24576,-146.77238,65.26240,nan,2.93946,3.86537,20.46596,5000.00000,0.55379,0.13208,0.93883,0.20924,1.31310,0.09649,1.58293,1.06177,3.42280,0.37680,4.18129,2.39114,-2.30403,0.33385,-1.38702,-2.87828,0.61712,0.34104,2.26088,0.23445,3.35366,1.42330,10.44353,1.60618,0.00382,0.03405,0.12471,-0.05675,11.92010,0.36367,13.00269,10.81878,2.93518,0.29883,3.88144,2.18673,17.28317,0.76317,18.92739,15.18411,3.35396,2.38139,7.91734,-4.72828,-2.06722,0.00123,-2.06523,-2.06970,0.02942,0.00042,0.03047,0.02876,-2.01170,0.00225,-2.00860,-2.01586,-2.12540,0.00251,-2.12162,-2.13010,2.16563,0.50994,4.28854,1.00000,0.41628,0.12717,1.00000,0.16756,6.94624,1.44072,11.70747,3.26490
12,26.398149013519287,26624,-138.53973,87.69509,nan,2.58170,3.66989,20.05486,4631.00000,0.67058,0.13958,1.11164,0.27358,1.10619,0.12476,1.51200,0.77449,3.26948,0.53747,4.44834,2.07526,-2.35641,0.93892,-0.76090,-4.23102,0.75463,0.31349,2.06217,0.34572,4.29390,1.21674,9.28510,2.13981,0.00172,0.03570,0.18968,-0.06434,11.96598,0.35788,12.98896,10.64787,2.89750,0.30623,3.74105,2.10151,17.18142,0.69708,18.64141,15.33449,3.08677,2.11733,7.80438,-2.20851,-2.06430,0.00064,-2.06342,-2.06555,0.03042,0.00060,0.03116,0.02908,-2.01364,0.00117,-2.01164,-2.01610,-2.12204,0.00139,-2.11895,-2.12471,2.08649,0.45586,3.93685,1.00000,0.42226,0.12541,1.00000,0.15188,6.79329,1.86201,24.96890,2.86741
13,26.68851900100708,28672,-88.20180,140.10175,nan,2.75017,4.03829,19.73996,5000.00000,0.94080,0.09269,1.22355,0.71620,0.94875,0.07903,1.19421,0.78050,3.22756,0.53173,4.48132,2.18824,-1.10192,0.26558,-0.41070,-1.76041,0.56803,0.27405,1.77902,0.24503,4.06738,1.49888,11.53122,1.77566,0.00707,0.03473,0.11961,-0.05714,11.91758,0.36032,12.97948,10.91657,2.87786,0.27139,3.56267,2.18507,17.09116,0.75484,19.34838,15.57293,3.78430,1.84923,7.52879,-2.04103,-2.06279,0.00048,-2.06189,-2.06359,0.03240,0.00096,0.03403,0.03100,-2.00651,0.00396,-2.00097,-2.01323,-2.11875,0.00070,-2.11770,-2.12012,2.07101,0.40180,3.66263,1.00000,0.42605,0.12187,1.00000,0.15361,7.02948,1.44823,11.53595,3.27665
14,27.516773223876953,30720,-195.87975,160.22495,nan,2.72997,4.06217,20.72441,4878.25000,0.77372,0.10413,1.09327,0.47227,0.99092,0.10195,1.23554,0.73304,3.70165,0.68291,5.03048,2.06279,-1.22923,0.32196,-0.35407,-1.97401,0.58880,0.26443,2.29483,0.16603,4.45807,1.60115,14.54479,2.21932,0.00831,0.03331,0.10709,-0.05530,11.91515,0.34810,12.77260,10.78769,2.87526,0.29520,3.79709,2.13030,17.26039,0.68465,18.61071,15.37226,3.79180,2.04839,7.32551,-1.03105,-2.06091,0.00053,-2.06024,-2.06217,0.03365,0.00033,0.03414,0.03285,-1.99498,0.00252,-1.99136,-2.00101,-2.11773,0.00071,-2.11630,-2.11881,2.24003,0.61580,5.77071,1.00000,0.43080,0.11528,1.00000,0.17057,7.04522,1.53350,12.53934,3.86528
15,27.878535985946655,32768,-205.44288,140.85995,nan,3.03083,4.08667,20.76086,4740.00000,0.73785,0.12193,1.19576,0.43970,1.18742,0.10252,1.46341,0.87527,3.56641,0.49276,4.40698,2.43527,-1.68236,0.32521,-0.78973,-2.30961,0.65154,0.32451,2.37384,0.18803,5.43449,1.71953,14.86124,2.67014,0.00517,0.03518,0.14114,-0.06368,11.88115,0.32024,12.73255,10.97068,2.89668,0.26522,3.57574,2.28188,17.04974,0.58818,18.51568,15.40856,3.48679,1.71859,8.09247,-0.15451,-2.05798,0.00116,-2.05644,-2.06035,0.03415,0.00069,0.03570,0.03292,-1.98547,0.00302,-1.98113,-1.99212,-2.11764,0.00100,-2.11578,-2.12116,2.11756,0.48079,4.83081,1.00000,0.42118,0.12766,1.00000,0.18622,7.06082,1.32268,10.61202,4.12851
16,27.77835726737976,34816,-185.72986,40.50198,nan,3.15770,4.14330,20.47720,4509.75000,0.18319,0.16679,0.60516,-0.43883,1.82557,0.21073,2.94893,1.50513,3.71717,0.33907,4.23043,2.62485,-4.41440,1.66915,-2.03223,-12.73439,1.05639,1.12980,6.62434,0.27725,6.67363,2.23042,14.30387,3.09997,-0.00025,0.03537,0.13014,-0.07292,11.71187,0.33701,12.70396,10.90728,2.92700,0.28275,3.67459,2.06100,17.17065,0.69639,19.47596,15.67155,3.73490,1.75527,7.60030,-0.95836,-2.05626,0.00021,-2.05599,-2.05710,0.03641,0.00030,0.03683,0.03572,-1.98014,0.00112,-1.97817,-1.98297,-2.11805,0.00325,-2.11344,-2.12261,2.05936,0.50553,5.67961,1.00000,0.39510,0.12721,1.00000,0.10198,7.13472,1.54570,13.05298,3.92580
17,27.26513147354126,36864,-105.62829,-14.13086,nan,2.91334,3.89011,20.36231,5000.00000,-0.14054,0.15539,0.33242,-0.64591,1.45922,0.11241,1.77660,1.16059,2.95767,0.36268,3.59078,1.81851,-3.62896,0.46129,-2.40380,-4.55853,0.62843,0.37385,2.27473,0.20253,6.27627,2.22246,17.01004,2.69246,0.00616,0.03564,0.13433,-0.05944,11.76838,0.37101,12.94803,10.58262,2.92205,0.28579,3.70538,2.25859,17.05794,0.67305,18.26359,15.41829,3.19297,2.14898,7.36504,-2.52687,-2.05599,0.00036,-2.05558,-2.05708,0.03624,0.00015,0.03664,0.03599,-1.98068,0.00087,-1.97936,-1.98283,-2.11577,0.00186,-2.11293,-2.11948,2.05177,0.42377,4.01282,1.00000,0.40981,0.12259,1.00000,0.16806,7.27515,1.57788,11.98497,3.11522
18,26.27513599395752,38912,-33.35228,-140.08898,nan,2.68412,4.00398,19.58686,5000.00000,-0.92759,0.10713,-0.61396,-1.24441,0.99061,0.08483,1.28512,0.78134,1.72727,0.59557,3.21584,0.33465,-3.20657,0.34375,-2.33605,-3.86780,0.37371,0.21529,1.69330,0.14175,4.84795,2.69559,23.32819,1.90559,0.01381,0.03521,0.16402,-0.05364,11.77005,0.36493,12.91669,10.69679,2.86710,0.28173,3.89318,2.18624,17.14915,0.69268,18.95116,15.28767,3.66025,1.96259,7.74849,-0.94651,-2.05420,0.00103,-2.05289,-2.05596,0.03792,0.00072,0.03896,0.03662,-1.96889,0.00451,-1.96337,-1.97944,-2.11242,0.00275,-2.10771,-2.11870,2.20962,0.58314,4.82264,1.00000,0.42238,0.11120,1.00000,0.16765,7.40722,1.48439,12.19413,3.90822
19,28.085517644882202,40960,-18.41532,-222.95049,nan,3.01299,4.12599,20.94623,4852.00000,-1.52866,0.13276,-1.11816,-1.88357,1.15682,0.10118,1.44451,0.88225,1.79641,0.84660,3.48436,-0.07850,-4.18274,0.53676,-2.94867,-5.26911,0.48514,0.55378,4.25096,0.13162,6.29024,6.53672,48.56599,2.15053,0.00964,0.03670,0.13304,-0.07161,11.67374,0.33727,12.45848,10.82816,2.92266,0.26958,3.77513,2.28659,17.08023,0.67854,18.56963,15.64867,3.39352,2.13578,7.48852,-1.81833,-2.05240,0.00057,-2.05130,-2.05327,0.03860,0.00019,0.03898,0.03819,-1.96586,0.00148,-1.96357,-1.96864,-2.10788,0.00075,-2.10601,-2.10959,2.13164,0.43790,3.94788,1.00000,0.43372,0.10272,1.00000,0.19188,7.37729,1.64889,12.03422,3.04222
20,26.490825414657593,43008,-155.87277,201.70546,nan,2.65661,3.74609,20.08794,4463.75000,0.63248,0.19400,1.13754,-0.22022,1.41030,0.24122,2.69263,1.04394,3.98855,0.47427,4.70593,2.47330,-3.04390,2.00702,-1.19047,-13.73238,0.83586,0.89586,5.71009,0.27890,7.86853,3.39357,24.78114,3.50893,0.00623,0.03567,0.11660,-0.07198,11.69392,0.37603,12.85328,10.50083,2.84491,0.26666,3.59348,2.17451,17.00679,0.64464,18.75771,15.25764,3.89933,1.52663,7.17776,-0.51520,-2.04769,0.00185,-2.04546,-2.05130,0.03910,0.00046,0.04002,0.03855,-1.96698,0.00101,-1.96432,-1.96854,-2.10119,0.00347,-2.09687,-2.10899,2.16227,0.43932,3.57664,1.00000,0.40320,0.12077,1.00000,0.14871,6.98747,1.55117,11.39036,3.35677
21,25.76644539833069,45056,-54.65092,203.30041,nan,2.63664,3.88387,19.24577,4404.00000,0.45862,0.11193,0.72334,0.09576,1.10634,0.10167,1.37233,0.81588,3.01116,0.43485,4.15108,1.98552,-2.31606,0.95204,-1.09593,-4.62023,0.50120,0.24544,2.08232,0.14757,5.25963,2.22604,21.98810,2.37519,0.00437,0.03539,0.15694,-0.06839,11.64784,0.34740,12.76003,10.71996,2.84631,0.26281,3.44949,2.17486,16.97272,0.70500,19.29333,15.61136,3.75815,1.64057,7.04404,-0.24015,-2.04416,0.00078,-2.04298,-2.04565,0.04011,0.00020,0.04072,0.03986,-1.95953,0.00214,-1.95608,-1.96428,-2.10114,0.00225,-2.09695,-2.10604,2.15333,0.50955,4.47698,1.00000,0.39389,0.11620,1.00000,0.12691,7.06166,1.41925,11.26927,3.73299
22,26.519912242889404,47104,17.49942,164.60012,nan,2.50223,3.90139,20.11604,5000.00000,0.09773,0.10575,0.38815,-0.23249,1.14589,0.09302,1.38314,0.88234,2.64877,0.31394,3.18735,1.76168,-2.24975,0.25830,-1.33071,-2.70907,0.54989,0.23044,1.54952,0.23072,6.06051,1.72494,16.02065,2.86975,0.00781,0.03591,0.14587,-0.07471,11.56288,0.33492,12.49823,10.73468,2.89297,0.30663,3.73052,2.12967,16.71634,0.64531,18.59164,15.15017,3.17334,2.01959,7.83918,-1.62318,-2.04187,0.00057,-2.04119,-2.04303,0.04247,0.00086,0.04415,0.04070,-1.94639,0.00517,-1.93771,-1.95706,-2.11467,0.00395,-2.10610,-2.11927,2.02261,0.39597,3.69516,1.00000,0.43533,0.10825,1.00000,0.23295,7.31283,1.31631,11.28815,3.71860
23,25.965359210968018,49152,-41.48600,146.66049,nan,2.67431,3.79744,19.49341,4907.50000,-0.04169,0.16722,0.48429,-0.42202,1.41465,0.10722,1.77663,1.13390,3.23807,0.76069,4.93197,1.82899,-2.83502,0.23101,-1.93369,-3.28479,0.79675,0.32496,2.22910,0.29602,8.89611,2.78647,19.93025,3.75050,0.00210,0.03414,0.10688,-0.06569,11.67054,0.33993,12.49121,10.62701,2.92985,0.27222,3.61027,2.03355,16.94180,0.60804,18.37846,15.54402,3.41195,1.88192,7.64626,-1.54390,-2.03930,0.00101,-2.03808,-2.04142,0.04373,0.00027,0.04427,0.04336,-1.93987,0.00148,-1.93648,-1.94262,-2.11367,0.00246,-2.11132,-2.11960,2.14567,0.49536,4.88705,1.00000,0.38850,0.12706,1.00000,0.09154,7.32661,1.33416,12.23787,4.36464
24,26.622689247131348,51200,-237.71516,312.88377,nan,2.79100,3.95071,19.88082,5000.00000,1.65962,0.26856,2.29080,0.64940,2.10491,0.37021,3.82073,1.43589,5.56586,0.69282,6.90614,3.97843,-4.96704,2.47839,-1.18260,-16.20732,2.10906,1.99860,12.28876,0.47011,19.73895,9.06884,66.21181,7.49318,0.00995,0.04187,0.27494,-0.06462,11.50797,0.35441,12.52175,10.59844,2.90428,0.25712,3.63253,2.11529,16.76238,0.60768,17.92430,15.37522,3.42680,1.76220,6.64412,-2.05589,-2.03701,0.00049,-2.03633,-2.03816,0.04441,0.00049,0.04549,0.04375,-1.94094,0.00073,-1.93920,-1.94263,-2.11379,0.00291,-2.11035,-2.12000,2.25274,0.66591,5.89914,1.00000,0.38084,0.12968,1.00000,0.07301,7.41594,2.45360,31.73616,3.33593
25,26.647212028503418,53248,-516.63688,517.36073,nan,2.70478,3.82776,20.11443,4875.50000,2.06850,0.20777,2.62039,1.42347,1.61406,0.12463,1.94238,1.29324,5.93843,0.88944,8.24281,4.25205,-2.14110,0.77007,-0.06919,-3.96158,1.66736,1.01332,8.24716,0.70740,17.55362,9.28389,73.07109,6.81383,0.01126,0.03442,0.13509,-0.05159,11.55366,0.36483,12.76925,10.56635,2.94292,0.26650,3.61263,2.14467,16.66925,0.60097,18.31381,15.26971,2.91118,1.97412,7.13869,-1.25037,-2.03676,0.00028,-2.03629,-2.03726,0.04484,0.00046,0.04546,0.04405,-1.94654,0.00180,-1.94120,-1.94971,-2.12050,0.00085,-2.11854,-2.12227,2.27588,0.73383,7.65516,1.00000,0.39335,0.11250,1.00000,0.09481,7.46130,1.65221,12.87894,3.83530
26,25.845558166503906,55296,-962.91622,457.66908,nan,2.51879,3.84372,19.48287,4582.50000,1.41855,0.18489,1.95540,0.99862,1.97384,0.16911,2.41441,1.46991,5.72401,0.73261,7.58912,4.09839,-3.04997,0.61043,-1.09038,-4.27355,1.62226,0.93162,6.74657,0.65933,17.44879,9.50168,77.25256,6.67132,0.01329,0.03720,0.14059,-0.06181,11.52435,0.35296,12.47053,10.34720,2.95435,0.28348,3.86792,2.21151,16.93317,0.59675,18.32666,15.31516,3.05117,1.82563,6.81692,-1.37157,-2.03592,0.00061,-2.03515,-2.03727,0.04520,0.00049,0.04589,0.04417,-1.94549,0.00069,-1.94373,-1.94642,-2.11960,0.00085,-2.11796,-2.12114,2.22918,0.49215,4.36270,1.00000,0.40252,0.10473,1.00000,0.16725,7.78209,1.51751,12.81288,4.28464
27,26.12345027923584,57344,-1503.66685,253.64074,nan,2.69950,4.24479,19.17899,5000.00000,0.05075,0.18842,0.63384,-0.56691,2.54377,0.16420,3.04070,2.12296,4.74533,1.12838,8.09008,3.05748,-6.08542,0.69803,-4.03946,-6.96388,1.79798,1.12909,7.33100,0.68756,21.80908,9.43332,66.63701,7.45899,0.01234,0.03615,0.14996,-0.06185,11.45588,0.37488,12.45003,10.34007,2.95034,0.31548,3.79670,2.03459,16.83380,0.62909,18.11169,15.32177,2.95939,2.30555,7.42081,-2.41660,-2.03332,0.00111,-2.03170,-2.03551,0.04713,0.00064,0.04838,0.04581,-1.93861,0.00254,-1.93398,-1.94448,-2.11816,0.00072,-2.11631,-2.11941,2.07695,0.39908,4.41629,1.00000,0.44756,0.10400,1.00000,0.13470,7.71535,1.50137,12.40507,4.52486
28,26.948995351791382,59392,-1647.57962,443.63476,nan,2.63124,3.84761,20.46992,5000.00000,0.92483,0.28543,1.61093,-0.08398,2.03330,0.40422,3.74538,1.34081,5.94331,1.48171,8.90838,3.50768,-5.37507,2.53593,-1.35608,-16.31929,2.23408,1.94453,12.05183,0.61193,30.58034,12.60793,94.68211,12.48481,0.00909,0.03515,0.13280,-0.04961,11.38941,0.35859,12.30798,10.17170,2.97864,0.33410,4.17438,2.10073,16.69589,0.62752,17.99658,14.89968,2.48296,2.45910,7.04887,-6.48008,-2.02931,0.00134,-2.02745,-2.03182,0.04753,0.00046,0.04835,0.04688,-1.93679,0.00205,-1.93322,-1.94012,-2.11612,0.00161,-2.11372,-2.11923,2.17058,0.53714,5.18963,1.00000,0.36470,0.14073,1.00000,0.08205,7.12429,2.02054,15.27380,2.37737
