po_returns_mean_0e12c9b5-7485-423e-b335-1cd7640ede32,po_returns_median_0e12c9b5-7485-423e-b335-1cd7640ede32,po_returns_std_0e12c9b5-7485-423e-b335-1cd7640ede32,po_returns_max_0e12c9b5-7485-423e-b335-1cd7640ede32,po_returns_min_0e12c9b5-7485-423e-b335-1cd7640ede32,po_len_mean_0e12c9b5-7485-423e-b335-1cd7640ede32,po_len_std_0e12c9b5-7485-423e-b335-1cd7640ede32,noise_std_0e12c9b5-7485-423e-b335-1cd7640ede32,learning_rate_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_returns_mean_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_returns_median_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_returns_std_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_len_mean_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_len_std_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_n_episodes_0e12c9b5-7485-423e-b335-1cd7640ede32,theta_norm_0e12c9b5-7485-423e-b335-1cd7640ede32,grad_norm_0e12c9b5-7485-423e-b335-1cd7640ede32,update_ratio_0e12c9b5-7485-423e-b335-1cd7640ede32,episodes_this_step_0e12c9b5-7485-423e-b335-1cd7640ede32,episodes_so_far_0e12c9b5-7485-423e-b335-1cd7640ede32,timesteps_this_step_0e12c9b5-7485-423e-b335-1cd7640ede32,timesteps_so_far_0e12c9b5-7485-423e-b335-1cd7640ede32,time_elapsed_this_step_0e12c9b5-7485-423e-b335-1cd7640ede32,accept_theta_in_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_returns_mean_best_in_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_returns_mean_best_with_ckpt_in_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_returns_mean_theta_from_others_in_0e12c9b5-7485-423e-b335-1cd7640ede32,eval_returns_mean_proposal_from_others_in_0e12c9b5-7485-423e-b335-1cd7640ede32,time_elapsed_so_far,iteration
1689.2912670018263,1765.1668869003092,507.9225879723646,2245.8772662568913,-2898.3136675300816,1999.0,0.0,0.01998,0.009999000000000001,1996.0296252405556,1996.3419112414388,19.979264417382065,1999.0,0.0,5,83.54163776281887,4398.12451171875,0.07389997871031505,256,256,1023488,1023488,304.8216435909271,sac_58_proposal,,,flat_2331.4140096585943_sac_58_2256.3411958948805,flat_2036.9981401170303_sac_58_2212.4809251235106,649.3776800632477,75
2081.9428478985583,2171.133990546472,470.32369185425034,2500.129104368269,-4107.777529967322,1999.0,0.0,0.01970209092724004,0.009985010495451365,2463.7441322150553,2463.7441322150553,0.0,1999.0,0.0,5,97.17157320114734,6018.45166015625,0.01807684990957498,256,4096,1023488,16375560,288.3598186969757,sac_58_proposal,,,flat_2156.626119876542_sac_58_2559.6091697855873,sac_58_2575.241065702922,5635.8583352565765,90
2384.4004044063977,2426.4974006195616,280.19385063354696,2740.298763071727,-2031.8985010129009,1999.0,0.0,0.01970209092724004,0.009985010495451365,2810.9961886496258,2810.9961886496258,0.0,1999.0,0.0,5,104.03828538332124,5383.54345703125,0.018029462811322127,256,7936,1023488,31727880,317.15535616874695,0e12c9b5-7485-423e-b335-1cd7640ede32,,,flat_2459.7627949058756_sac_58_2644.4354960218084,sac_58_2575.241065702922,10586.645157814026,105
2556.775743578242,2579.7082137511943,203.98252347768332,2834.1980806267575,-617.0761363600463,1999.0,0.0,0.01940861934526171,0.009970043459427395,2857.5303824098646,2857.5303824098646,0.0,1999.0,0.0,5,112.3909209901912,4398.9833984375,0.014363372836251883,256,11776,1023488,47080200,383.7952651977539,0e12c9b5-7485-423e-b335-1cd7640ede32,,,flat_2554.6568380440403_sac_58_2755.382933556417_sac_118_-1596.0446308679752,sac_58_2575.241065702922,16137.09951210022,120
2682.1597932565082,2694.00770171607,110.82099587705642,2928.7143611496444,2063.2775967412463,1999.0,0.0,0.019119519155626808,0.00995509885824888,2912.669370918713,2912.669370918713,0.0,1999.0,0.0,5,119.26716887884987,3453.73828125,0.01309123751349305,256,15616,1023488,62432520,387.8712465763092,0e12c9b5-7485-423e-b335-1cd7640ede32,,,flat_2663.6279606345156_sac_58_2803.2697165892737_sac_118_2641.26171938873,sac_58_2575.241065702922,22490.335689544678,135
2735.9770127210422,2754.0401903580005,97.15956953461556,2928.2975143828376,2271.6478708715626,1999.0,0.0,0.018834725244463356,0.0099401766582871,2972.3127711823013,2972.3127711823013,0.0,1999.0,0.0,5,125.29888688390078,3517.09912109375,0.012567651803386292,256,19456,1023488,77784840,492.81509256362915,0e12c9b5-7485-423e-b335-1cd7640ede32,,,flat_2668.913515707625_sac_58_2835.9525701795806_sac_118_2684.29226819633_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2381.7623536131473,sac_58_2575.241065702922,30027.86625790596,150
2773.1015385203873,2786.9341977207587,91.16042360571461,2961.960083474003,2223.4245826867323,1999.0,0.0,0.01855417346780002,0.00992527682596374,3017.7390164727444,3017.7390164727444,0.0,1999.0,0.0,5,130.76922182661662,4169.23388671875,0.012549260474797727,256,23296,1023488,93137160,498.8051497936249,0e12c9b5-7485-423e-b335-1cd7640ede32,,,flat_2746.669875768145_sac_58_2878.6887975399723_sac_118_2659.1503247521923_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2474.2228066982957,sac_58_2575.241065702922,38040.0600066185,165
2792.272689567433,2808.1125350403363,86.08064076705705,2990.4436404301655,2421.7496539526865,1999.0,0.0,0.01827780063711903,0.009910399327750822,3035.6125690916615,3035.6125690916615,0.0,1999.0,0.0,5,136.81035150895792,3929.4921875,0.012620680094978009,256,27136,1023488,108489480,606.9232642650604,0e12c9b5-7485-423e-b335-1cd7640ede32,,,flat_2798.4913991562853_sac_58_2965.1479250753805_sac_118_2764.414848426383_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2588.7391713115962_sac_178_iter179_1627219137.9735906_-114.15940127161596,sac_58_2575.241065702922,47265.93317127228,180
2813.0573933020614,2824.774363358234,76.78683947757,2968.6930513560746,2516.4387276392495,1999.0,0.0,0.01800554450512425,0.009895544130170611,3014.7319517187007,3014.7319517187007,0.0,1999.0,0.0,5,143.6279469853045,4435.6474609375,0.012729748072347126,256,30976,1023488,123841800,595.4995987415314,0e12c9b5-7485-423e-b335-1cd7640ede32,,,flat_2849.7097100920437_sac_58_2982.835069893607_sac_118_2813.1227215333006_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2627.7298787807754_sac_178_iter179_1627219137.9735906_2430.8961061618033,sac_58_2575.241065702922,56940.1345512867,195
2836.946815796988,2850.100239400942,81.5726696002784,3004.747607626947,2430.282285909702,1999.0,0.0,0.017737343751721264,0.009880711199795571,3040.469236975694,3040.469236975694,0.0,1999.0,0.0,5,149.98772916229188,4471.291015625,0.012658453886371967,256,34816,1023488,139194120,585.7205393314362,0e12c9b5-7485-423e-b335-1cd7640ede32,,,flat_2805.200974143891_sac_58_2993.6941953361415_sac_118_2805.6800798525774_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2606.9183139452766_sac_178_iter179_1627219137.9735906_2642.432777943498,sac_58_2575.241065702922,66622.0556344986,210
