po_returns_mean_sac_58,po_returns_median_sac_58,po_returns_std_sac_58,po_returns_max_sac_58,po_returns_min_sac_58,po_len_mean_sac_58,po_len_std_sac_58,noise_std_sac_58,learning_rate_sac_58,eval_returns_mean_sac_58,eval_returns_median_sac_58,eval_returns_std_sac_58,eval_len_mean_sac_58,eval_len_std_sac_58,eval_n_episodes_sac_58,theta_norm_sac_58,grad_norm_sac_58,update_ratio_sac_58,episodes_this_step_sac_58,episodes_so_far_sac_58,timesteps_this_step_sac_58,timesteps_so_far_sac_58,time_elapsed_this_step_sac_58,accept_theta_in_sac_58,eval_returns_mean_best_in_sac_58,eval_returns_mean_best_with_ckpt_in_sac_58,eval_returns_mean_theta_from_others_in_sac_58,eval_returns_mean_proposal_from_others_in_sac_58,time_elapsed_so_far,iteration
-16.628967742641983,-14.034830940991096,8.098779055297161,-2.5876913606299072,-61.25515133740957,1087.236328125,533.3169540206765,0.01994005998,0.00999700029999,-0.5691538286181131,-0.5691538286181131,0.0,760.0,0.0,5,72.90721,8060.654296875,0.045849140733480453,256,768,556665,2114780,158.13132405281067,flat_proposal,,,flat_1418.9503025726765,flat_1447.8091562156883,755.8537793159485,60
1573.641790765068,1623.7324065922687,396.75840651338143,2094.756976443181,-2900.0425720153066,1998.017578125,22.207950161699333,0.01970209092724004,0.009985010495451365,2078.4220208371044,2078.4220208371044,0.0,1999.0,0.0,5,86.769155026506,6525.8662109375,0.020054826196081954,256,4608,1022985,17465767,302.9135329723358,sac_58,,,flat_1534.7777225745324_0e12c9b5-7485-423e-b335-1cd7640ede32_1206.4255860790513,flat_1447.8091562156883,5005.903118848801,75
1998.6305625566633,2051.859608466908,254.7995560781345,2381.5926183879574,95.87657082814329,1999.0,0.0,0.01940861934526171,0.009970043459427395,2438.3369704237766,2438.3369704237766,0.0,1999.0,0.0,5,94.23118521144468,4654.845703125,0.015684716302065412,256,8448,1023488,32817339,286.05032658576965,sac_58,,,flat_2033.7833931350683_0e12c9b5-7485-423e-b335-1cd7640ede32_2257.307114292138,flat_1447.8091562156883,9992.37696814537,90
2194.8908327178156,2232.954143706508,197.55652998521344,2504.955606842598,126.36023556020334,1999.0,0.0,0.019119519155626808,0.00995509885824888,2491.8113576281944,2491.8113576281944,0.0,1999.0,0.0,5,101.64128926052007,4119.02734375,0.014918754720456059,256,12288,1023488,48169174,314.7985026836395,sac_58,,,flat_2337.4962435357647_0e12c9b5-7485-423e-b335-1cd7640ede32_2287.8374018078603,flat_1447.8091562156883,14943.161416053772,105
2292.1890456499946,2341.39182547386,202.63996780246035,2588.9469473773943,146.21831907105738,1999.0,0.0,0.018834725244463356,0.0099401766582871,2578.690810391735,2578.690810391735,0.0,1999.0,0.0,5,109.32301239636956,4868.462890625,0.014265233012693623,256,16128,1023488,63521494,381.52903962135315,sac_58,,,flat_2418.1370210196533_0e12c9b5-7485-423e-b335-1cd7640ede32_2358.5948666664826_sac_118_-2115.692048262545,flat_1447.8091562156883,20493.612533330917,120
2406.8867939479896,2425.228190844394,122.8562818125529,2638.290234316062,1779.2006677468505,1999.0,0.0,0.01855417346780002,0.00992527682596374,2686.749677570168,2686.749677570168,0.0,1999.0,0.0,5,115.74181721737818,4781.82861328125,0.014140301343655183,256,19968,1023488,78873814,385.4650993347168,sac_58,,,flat_2498.6709546319626_0e12c9b5-7485-423e-b335-1cd7640ede32_2578.9451692387556_sac_118_2463.768287278757,flat_1447.8091562156883,26846.85492873192,135
2482.374252118082,2500.960419288711,106.60030594575103,2688.7270720868287,1914.2347597606135,1999.0,0.0,0.01827780063711903,0.009910399327750822,2763.8050781056,2763.8050781056,0.0,1999.0,0.0,5,121.95035223064988,5717.01416015625,0.01358627071105139,256,23808,1023488,94226134,490.6622226238251,sac_58,,,flat_2537.234632026455_0e12c9b5-7485-423e-b335-1cd7640ede32_2607.33507896738_sac_118_2502.1912110202707_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2225.1044147302596,flat_1447.8091562156883,34384.385959625244,150
2552.0828340195476,2570.2552165629277,102.6291978518611,2750.796291472975,1892.1364023796207,1999.0,0.0,0.01800554450512425,0.009895544130170611,2806.6725347523843,2806.6725347523843,0.0,1999.0,0.0,5,127.97966269939954,4648.8701171875,0.013131398054488768,256,27648,1023488,109578454,496.74303913116455,sac_58,,,flat_2693.803630402557_0e12c9b5-7485-423e-b335-1cd7640ede32_2568.0029286502313_sac_118_2494.219901683286_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2349.2642435792222,flat_1447.8091562156883,42396.602791786194,165
2599.5676460496024,2631.0473595345884,143.2881197824723,2806.3747351746256,1618.3721852433011,1999.0,0.0,0.017737343751721264,0.009880711199795571,2856.3474515641356,2856.3474515641356,0.0,1999.0,0.0,5,134.6204404573806,5503.728515625,0.012938976566455372,256,31488,1023488,124930774,604.6896710395813,sac_58,,,flat_2729.724585664017_0e12c9b5-7485-423e-b335-1cd7640ede32_2521.379409021757_sac_118_2548.2315849151864_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2422.0304159900556_sac_178_iter179_1627219137.9735906_-982.8094992953968,flat_1447.8091562156883,51622.45827674866,180
2641.845215991214,2678.3812923072946,153.4785363161017,2860.5419001529467,1523.938384614766,1999.0,0.0,0.01747313797020627,0.009865900503248263,2879.722592118883,2879.722592118883,0.0,1999.0,0.0,5,141.09562440513497,5293.0908203125,0.01260776466507353,256,35328,1023488,140283094,593.2883653640747,sac_58,,,flat_2718.8267183628955_0e12c9b5-7485-423e-b335-1cd7640ede32_2454.932268533624_sac_118_2622.0653906737675_6ed81350-0e7f-47e0-b2e9-22ab0e82bd56_2424.7743690597513_sac_178_iter179_1627219137.9735906_2253.152428562319,flat_1447.8091562156883,61296.662640333176,195
