po_returns_mean_flat,po_returns_median_flat,po_returns_std_flat,po_returns_max_flat,po_returns_min_flat,po_len_mean_flat,po_len_std_flat,noise_std_flat,learning_rate_flat,eval_returns_mean_flat,eval_returns_median_flat,eval_returns_std_flat,eval_len_mean_flat,eval_len_std_flat,eval_n_episodes_flat,theta_norm_flat,grad_norm_flat,update_ratio_flat,episodes_this_step_flat,episodes_so_far_flat,timesteps_this_step_flat,timesteps_so_far_flat,time_elapsed_this_step_flat,accept_theta_in_flat,eval_returns_mean_best_in_flat,eval_returns_mean_best_with_ckpt_in_flat,eval_returns_mean_theta_from_others_in_flat,eval_returns_mean_proposal_from_others_in_flat,time_elapsed_so_far,iteration
-5684.905338504706,-3357.5217259273795,4369.668979246821,-14.828432591012035,-11762.065274325629,1998.9296875,1.589435796861185,0.01998,0.009999000000000001,-68.21135441738639,-68.21135441924952,4.0513526167666186e-09,1999.0,0.0,5,44.71402383815454,2005.4852294921875,0.10104477726274538,256,256,1023452,1023452,1500.7873549461365,self,,,,,1500.799639225006,0
218.40288611404344,250.77919138652987,184.5886060262385,420.28877077943673,-1527.6301598313762,1999.0,0.0,0.0196823888363128,0.00998401199440182,401.36146263954754,401.36146263954754,0.0,1999.0,0.0,5,53.16513076725573,7253.98046875,0.026202876203011764,256,4096,1023488,16375772,101.88421297073364,self,,,,,3022.891518354416,15
415.6611803876793,436.88321841656455,171.5581808228515,698.9281232175616,-1524.2752547190112,1999.0,0.0,0.01938921072591645,0.009969046455081452,675.1877540101603,675.1877540101603,0.0,1999.0,0.0,5,60.6664832212891,6783.205078125,0.020134836801005376,256,7936,1023488,31728092,98.42759871482849,self,,,,,4524.461941242218,30
583.3475048731403,657.426386552736,346.3370113515514,905.0256930999966,-2251.359496285256,1999.0,0.0,0.019100399636471182,0.009954103348363056,861.0618720981232,861.0618720981232,0.0,1999.0,0.0,5,67.2423736826774,6019.611328125,0.0182364187253181,256,11776,1023488,47080412,98.28822183609009,self,,,,,5997.183217763901,45
595.9444284662026,730.7312078978326,947.7446577995865,981.3962059348481,-11582.240098125692,1999.0,0.0,0.018815890519218892,0.009939182640621273,980.8360565675979,980.8360565675979,0.0,1999.0,0.0,5,73.50498904704264,5929.31982421875,0.01680370233785009,256,15616,1023488,62432732,97.44639730453491,self,,,,,7489.357325553894,60
537.1629765574544,781.4264703102651,1435.0813258013802,1026.6759445175474,-12299.738202649158,1999.0,0.0,0.01853561929433222,0.009924284298281145,1014.2359538434127,1014.2359538434127,0.0,1999.0,0.0,5,79.40195916911111,5930.86328125,0.016898997804001312,256,19456,1023488,77785052,102.37985897064209,self,,,,,8975.340233564377,75
238.45327687003171,827.2555118753658,2404.313291223912,1054.3820533250578,-12023.60936741752,1999.0,0.0,0.018259522836481912,0.009909408287818047,962.461129559116,962.461129559116,0.0,1999.0,0.0,5,85.23442082464493,6866.181640625,0.01683484424281633,256,23296,1023488,93137372,97.78922891616821,self,,,,,10461.874922275543,90
-83.00134537109756,830.6976185348565,3032.423291918298,1048.9218479766178,-11734.717765048119,1999.0,0.0,0.017987538960619127,0.009894554575757594,1059.8219503368985,1059.8219503368985,0.0,1999.0,0.0,5,91.27774246391559,7015.794921875,0.017166581203040463,256,27136,1023488,108489692,104.91207528114319,self,,,,,11966.824405670166,105
-72.72543467151206,859.9301430703633,3063.1759526410365,1074.9941937649814,-11554.91055332077,1999.0,0.0,0.017719606407969542,0.009879723128675591,1087.1139599764304,1087.1139599764304,0.0,1999.0,0.0,5,98.41904336176495,7592.107421875,0.016745416406373864,256,30976,1023488,123842012,98.44085121154785,self,,,,,13482.555143117905,120
-195.06051395996553,873.8068540460233,3278.809548608143,1087.449174399522,-12315.094460377884,1999.0,0.0,0.017455664832236064,0.009864913913197939,1086.331495668777,1086.331495668777,0.0,1999.0,0.0,5,106.02425916269479,7313.443359375,0.01616257007511202,256,34816,1023488,139194332,103.8119797706604,self,,,,,14995.84746336937,135
