po_returns_mean_sac_58,po_returns_median_sac_58,po_returns_std_sac_58,po_returns_max_sac_58,po_returns_min_sac_58,po_len_mean_sac_58,po_len_std_sac_58,noise_std_sac_58,learning_rate_sac_58,eval_returns_mean_sac_58,eval_returns_median_sac_58,eval_returns_std_sac_58,eval_len_mean_sac_58,eval_len_std_sac_58,eval_n_episodes_sac_58,theta_norm_sac_58,grad_norm_sac_58,update_ratio_sac_58,episodes_this_step_sac_58,episodes_so_far_sac_58,timesteps_this_step_sac_58,timesteps_so_far_sac_58,time_elapsed_this_step_sac_58,accept_theta_in_sac_58,eval_returns_mean_best_in_sac_58,eval_returns_mean_best_with_ckpt_in_sac_58,eval_returns_mean_theta_from_others_in_sac_58,eval_returns_mean_proposal_from_others_in_sac_58,time_elapsed_so_far,iteration
-13.099958267932735,-10.89917719053728,21.493378702168336,261.08383637785823,-232.52690539953272,1695.1328125,520.7045012992876,0.01994005998,0.00999700029999,-5.1478247365551955,-5.1478247365551955,0.0,641.0,0.0,5,268.39032,8113.3427734375,0.023998882621526718,256,768,867908,2600354,179.89705967903137,flat_proposal,,,flat_1288.6196675243643,flat_1289.2229709199785,742.8253643512726,60
736.2210946737491,1086.1433665386298,936.9790416074967,1424.2785060559365,-3965.961331006328,1999.0,0.0,0.01970209092724004,0.009985010495451365,1209.981245489768,1209.981245489768,0.0,1999.0,0.0,5,84.8373151334719,6081.2197265625,0.020175282128584455,256,4608,1023488,17952674,197.38038301467896,sac_58,,,flat_1299.2552490870062,flat_1289.2229709199785,4125.96666097641,75
911.3207175145837,1186.7560678716404,929.61443326941,1563.8112270409,-3975.466964810602,1999.0,0.0,0.01940861934526171,0.009970043459427395,1419.5164201138982,1419.5164201138982,0.0,1999.0,0.0,5,91.81703192725193,6201.642578125,0.016174037493249548,256,8448,1023488,33304994,202.49100494384766,sac_58,,,flat_1355.9670545158913,flat_1289.2229709199785,7536.094872951508,90
1250.6660434671076,1373.421730526216,586.4721338251178,1822.0565912063598,-3811.521701157996,1999.0,0.0,0.019119519155626808,0.00995509885824888,1912.0325238881276,1912.0325238881276,0.0,1999.0,0.0,5,97.69872348562484,5063.82421875,0.014938743708830892,256,12288,1023488,48657314,195.30081868171692,sac_58,,,flat_1309.34934738471,flat_1289.2229709199785,11037.681334018707,105
1594.4103599457148,1668.9739408220141,445.44375630768747,2150.6883527030923,-3612.7345073282227,1999.0,0.0,0.018834725244463356,0.0099401766582871,2216.055216917773,2216.055216917773,0.0,1999.0,0.0,5,104.67272250444617,6046.947265625,0.014988918987314468,256,16128,1023488,64009634,289.8406991958618,sac_58,,,flat_1376.8837378283592_sac_118_59.7397492239204,flat_1289.2229709199785,15039.741929769516,120
1848.2011428836026,1912.8456715440093,306.2112936850789,2370.5866208566867,-870.580366787528,1999.0,0.0,0.01855417346780002,0.00992527682596374,2347.5169587591686,2347.5169587591686,0.0,1999.0,0.0,5,110.6126607071972,5794.26806640625,0.014127795227719226,256,19968,1023488,79361954,293.6685950756073,sac_58,,,flat_2122.1372896251755_sac_118_1809.125104264091,flat_1289.2229709199785,20166.604786872864,135
2038.6215983475413,2091.9488080025512,246.84004802395486,2414.965401979427,62.02547062020324,1999.0,0.0,0.01827780063711903,0.009910399327750822,2553.09278450493,2553.09278450493,0.0,1999.0,0.0,5,116.94477521070121,5175.3759765625,0.013718823077527066,256,23808,1023488,94714274,387.9688913822174,sac_58,,,flat_2264.700436318687_sac_118_2285.9810353204302_e6cf5d0d-0663-4ad7-929e-ef7f84b7282b_2061.701102247472,flat_1289.2229709199785,25699.264761209488,150
2221.9073265063053,2252.6580349404776,170.390503519986,2595.2230475545844,1360.2940737604456,1999.0,0.0,0.01800554450512425,0.009895544130170611,2513.9594066192362,2513.9594066192362,0.0,1999.0,0.0,5,122.29313350537191,6546.7275390625,0.013755334222265436,256,27648,1023488,110066594,393.4604241847992,sac_58,,,flat_2369.924630373482_sac_118_2432.301027276971_e6cf5d0d-0663-4ad7-929e-ef7f84b7282b_2181.1102611833535,flat_1289.2229709199785,32118.83483815193,165
2293.9670355466696,2329.6066122526754,171.0887459887322,2635.262812975931,1469.7426571026124,1999.0,0.0,0.017737343751721264,0.009880711199795571,2645.056907314584,2645.056907314584,0.0,1999.0,0.0,5,127.585028389462,6148.046875,0.013372879448223692,256,31488,1023488,125418914,485.75793051719666,sac_58,,,flat_2536.6009445902787_sac_118_2573.066100807861_e6cf5d0d-0663-4ad7-929e-ef7f84b7282b_2284.180616084592_sac_178_446.45918865178066,flat_1289.2229709199785,39441.10633134842,180
2358.7042429923686,2393.9000117815685,160.71522402653417,2668.358971957402,1489.4669385368932,1999.0,0.0,0.01747313797020627,0.009865900503248263,2659.763153692998,2659.763153692998,0.0,1999.0,0.0,5,134.02251516101364,6231.9453125,0.012734258016732801,256,35328,1023488,140771234,488.6126115322113,sac_58,,,flat_2571.383572044425_sac_118_2640.7353196480553_e6cf5d0d-0663-4ad7-929e-ef7f84b7282b_2463.798233217516_sac_178_2467.5227702790235,flat_1289.2229709199785,47674.544033527374,195
2483.7990758746623,2505.559271666995,112.78156912125684,2676.7521131856092,1834.9562715182774,1999.0,0.0,0.017212867653660723,0.009851112007201283,2675.333241721385,2675.333241721385,0.0,1999.0,0.0,5,141.051701616576,6807.8359375,0.01242326087064123,256,39168,1023488,156123554,488.7760055065155,sac_58,,,flat_2617.038137634409_sac_118_2700.045117185767_e6cf5d0d-0663-4ad7-929e-ef7f84b7282b_2612.1387264842892_sac_178_2543.4895994137214,flat_1289.2229709199785,55604.81951522827,210
