po_returns_mean_flat,po_returns_median_flat,po_returns_std_flat,po_returns_max_flat,po_returns_min_flat,po_len_mean_flat,po_len_std_flat,noise_std_flat,learning_rate_flat,eval_returns_mean_flat,eval_returns_median_flat,eval_returns_std_flat,eval_len_mean_flat,eval_len_std_flat,eval_n_episodes_flat,theta_norm_flat,grad_norm_flat,update_ratio_flat,episodes_this_step_flat,episodes_so_far_flat,timesteps_this_step_flat,timesteps_so_far_flat,time_elapsed_this_step_flat,accept_theta_in_flat,eval_returns_mean_best_in_flat,eval_returns_mean_best_with_ckpt_in_flat,eval_returns_mean_theta_from_others_in_flat,eval_returns_mean_proposal_from_others_in_flat,time_elapsed_so_far,iteration
-4667.968991311417,-3325.020521012929,3737.4675670873225,227.82887962762834,-11750.481972293885,1974.517578125,204.15570154237554,0.01998,0.009999000000000001,-1267.9323096412045,-1228.459843917396,96.37037356484333,1999.0,0.0,5,44.914236607685716,5251.8359375,0.10097477462824742,256,256,1010953,1010953,1495.1248087882996,self,,,,,1527.6132605075836,0
-360.28209769666233,101.8602195032853,1878.0722644799152,982.0647391932367,-11614.538099218695,1999.0,0.0,0.0196823888363128,0.00998401199440182,458.8935184154196,458.8935184154196,0.0,1999.0,0.0,5,53.7964610734182,7277.6669921875,0.025626554737921137,256,4096,1023488,16278838,102.40482354164124,self,,,,,3510.334817647934,15
-176.84358089742688,596.1242927788531,2271.0869838788103,1048.3568324618345,-11586.642902618833,1999.0,0.0,0.01938921072591645,0.009969046455081452,885.4544669391787,885.4544669391788,1.1368683772161603e-13,1999.0,0.0,5,61.90122176770499,7234.51220703125,0.02033644310586444,256,7936,1023488,31631158,102.7477126121521,self,,,,,5467.009040594101,30
-90.59954904118837,811.7717382468759,2628.9946095163245,1185.090200564305,-11795.731525916504,1999.0,0.0,0.019100399636471182,0.009954103348363056,1099.6571642461045,1099.6571642461045,0.0,1999.0,0.0,5,68.56386004998964,7628.85498046875,0.01902020848754397,256,11776,1023488,46983100,97.59865617752075,self,,,,,7423.446290016174,45
80.03692133575959,968.1016424302817,2692.7663457238873,1242.4427568866743,-11752.75713345807,1999.0,0.0,0.018815890519218892,0.009939182640621273,1208.1200665916033,1208.1200665916033,0.0,1999.0,0.0,5,75.24579162087642,6667.06298828125,0.017194646738061734,256,15616,1023488,62335420,178.6862714290619,flat,,,sac_58_-73.42342317409803,,9753.482904195786,60
-330.1923069757173,1067.324720172078,3529.707121307666,1318.0653351218914,-11739.570034106308,1999.0,0.0,0.01853561929433222,0.009924284298281145,1272.7556095176585,1272.7556095176585,0.0,1999.0,0.0,5,81.40159315810007,7696.05029296875,0.017199434532756106,256,19456,1023488,77687740,191.8016185760498,flat,,,sac_58_1084.969384022078,,13136.615237474442,75
-508.67443125684764,1032.4603739803038,3585.117248948719,1333.207223359192,-11841.522825212602,1999.0,0.0,0.018259522836481912,0.009909408287818047,1258.5117348996466,1258.5117348996466,0.0,1999.0,0.0,5,88.04178211480291,7262.638671875,0.016940731701912,256,23296,1023488,93040060,192.59250116348267,flat,,,sac_58_1196.3068263089608,,16546.748516082764,90
-262.2972085506702,1076.7851007069858,3578.8992209801527,1319.9846717373987,-11823.64640011559,1999.0,0.0,0.017987538960619127,0.009894554575757594,1279.007334658221,1279.007334658221,0.0,1999.0,0.0,5,95.16667144785538,7356.90234375,0.015799148063067515,256,27136,1023488,108392380,189.6433343887329,flat,,,sac_58_1388.0732068305244,sac_58_1282.7539686221965,20048.33166027069,105
-209.7514561889492,1162.6340873265044,3698.5282140974437,1333.7324668463132,-11839.763714790352,1999.0,0.0,0.017719606407969542,0.009879723128675591,1307.9268629511546,1307.9268629511546,0.0,1999.0,0.0,5,103.07000326841205,6523.8798828125,0.015080608504081607,256,30976,1023488,123744222,287.5300204753876,sac_58_proposal,,,sac_58_1813.332536170657_sac_118_386.1764923192153,sac_58_1705.564103552069,24050.3768119812,120
233.0130535984619,1384.5501934372965,3560.2987501905673,1877.3478912568053,-13213.612703101902,1999.0,0.0,0.01970209092724004,0.009985010495451365,1898.168335675739,1898.1683356757387,2.2737367544323206e-13,1999.0,0.0,5,115.36218196513886,6330.82763671875,0.017786696557101064,256,34816,1023488,139091227,291.4104382991791,flat,,,sac_58_1960.5948625581818_sac_118_1764.5645051253493,sac_58_1671.6975900635484,29177.26731133461,135
