EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,advs/mean_Mean,advs/mean_Std,advs/mean_Max,advs/mean_Min,advs/std_Mean,advs/std_Std,advs/std_Max,advs/std_Min,advs/max_Mean,advs/max_Std,advs/max_Max,advs/max_Min,advs/min_Mean,advs/min_Std,advs/min_Max,advs/min_Min,Training/vf_loss_Mean,Training/vf_loss_Std,Training/vf_loss_Max,Training/vf_loss_Min,grad_norm/vf_Mean,grad_norm/vf_Std,grad_norm/vf_Max,grad_norm/vf_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/alpha_loss_Mean,Training/alpha_loss_Std,Training/alpha_loss_Max,Training/alpha_loss_Min,Training/alpha_Mean,Training/alpha_Std,Training/alpha_Max,Training/alpha_Min,Training/eta_Mean,Training/eta_Std,Training/eta_Max,Training/eta_Min,logprob/mean_Mean,logprob/mean_Std,logprob/mean_Max,logprob/mean_Min,logprob/std_Mean,logprob/std_Std,logprob/std_Max,logprob/std_Min,logprob/max_Mean,logprob/max_Std,logprob/max_Max,logprob/max_Min,logprob/min_Mean,logprob/min_Std,logprob/min_Max,logprob/min_Min,KL/mean_Mean,KL/mean_Std,KL/mean_Max,KL/mean_Min,KL/std_Mean,KL/std_Std,KL/std_Max,KL/std_Min,KL/max_Mean,KL/max_Std,KL/max_Max,KL/max_Min,KL/min_Mean,KL/min_Std,KL/min_Max,KL/min_Min,grad_norm/pf_Mean,grad_norm/pf_Std,grad_norm/pf_Max,grad_norm/pf_Min
10,16.89201068878174,22000,-70.66655,-104.55454,nan,2.52494,2.06947,12.29743,2120.00000,-0.45558,0.03258,-0.37852,-0.54243,0.60356,0.03783,0.71341,0.50038,0.65586,0.13351,0.94926,0.36698,-2.38782,0.49661,-1.65442,-3.24758,0.11960,0.10274,0.55316,0.05411,1.12621,1.09155,5.20686,0.44498,-0.19732,0.00579,-0.18163,-0.21148,-0.00000,0.00029,0.00078,-0.00039,0.06888,0.00621,0.08025,0.06104,1.35571,0.00167,1.35864,1.35298,12.68444,0.34736,13.52793,11.69109,2.84482,0.28896,3.44641,2.09369,17.64188,0.52878,18.58409,16.38126,3.98522,2.32568,8.19052,-0.67715,0.01015,0.00400,0.01609,0.00000,0.00392,0.00154,0.00669,0.00000,0.02240,0.00943,0.04405,0.00000,0.00398,0.00176,0.00674,0.00000,0.13799,0.00978,0.16576,0.11145
11,17.68303394317627,24000,-65.20516,-101.36255,nan,2.73346,2.03823,12.91119,3000.00000,-0.38574,0.02920,-0.30364,-0.46191,0.52198,0.02353,0.57394,0.43475,0.79850,0.11603,1.04508,0.56510,-1.89521,0.17668,-1.38094,-2.10751,0.09388,0.07203,0.42215,0.03896,0.98122,0.85619,4.54424,0.43112,-0.19849,0.00577,-0.18459,-0.22032,-0.00003,0.00030,0.00080,-0.00036,0.07334,0.00639,0.08571,0.06508,1.36754,0.00546,1.37706,1.35870,12.67100,0.32481,13.62113,12.00781,2.79056,0.27153,3.71197,2.07734,17.92621,0.69817,19.05814,15.89128,5.01919,1.71125,8.40759,-0.16936,0.01039,0.00395,0.01489,0.00000,0.00442,0.00174,0.00721,0.00000,0.02592,0.01084,0.04735,0.00000,0.00348,0.00148,0.00660,0.00000,0.14149,0.01012,0.16673,0.11385
12,17.635207414627075,26000,-58.36463,-143.38212,nan,2.81750,1.91740,12.90007,2385.75000,-0.47216,0.06943,-0.31850,-0.64313,0.89025,0.18444,1.39660,0.55586,2.43156,1.00037,4.17325,0.60118,-4.33734,1.36045,-1.80637,-6.53465,0.38408,0.27430,1.81134,0.08881,1.86088,1.33499,8.82695,0.76162,-0.19665,0.00664,-0.17742,-0.21349,-0.00020,0.00032,0.00086,-0.00068,0.09139,0.01026,0.11035,0.07780,1.40402,0.01577,1.43159,1.37721,12.57420,0.32705,13.33833,11.68608,2.86022,0.29404,3.68597,2.10707,17.67163,0.67933,19.24697,16.19072,4.18725,2.23000,8.17726,-1.25573,0.01206,0.00370,0.01687,0.00000,0.00720,0.00329,0.01688,0.00000,0.04528,0.02331,0.13090,0.00000,0.00367,0.00143,0.00623,0.00000,0.18063,0.03071,0.33121,0.13596
13,17.97858500480652,28000,-68.02235,-133.18981,nan,2.95346,1.94532,13.07962,2518.75000,-0.42236,0.03224,-0.34483,-0.49940,0.52214,0.03236,0.62357,0.44706,0.75113,0.16772,1.16743,0.50370,-1.82018,0.27314,-1.26738,-2.41218,0.11055,0.07455,0.44314,0.04992,1.08143,0.88984,5.31550,0.50116,-0.19637,0.00710,-0.17631,-0.21147,0.00021,0.00031,0.00110,-0.00024,0.09207,0.00784,0.11054,0.08542,1.44202,0.00505,1.45058,1.43191,12.60405,0.41093,13.44208,11.63960,2.87452,0.28536,3.62102,2.07469,17.84626,0.70702,19.76076,16.62651,4.26726,1.97026,8.17350,-0.64347,0.00796,0.00294,0.01285,0.00000,0.00308,0.00117,0.00571,0.00000,0.01746,0.00667,0.03384,0.00000,0.00279,0.00112,0.00561,0.00000,0.15026,0.01231,0.19754,0.12039
14,17.93660068511963,30000,-77.29283,-136.70032,nan,2.89874,2.10661,12.93107,2383.50000,-0.44164,0.03123,-0.35823,-0.52058,0.41554,0.02648,0.49187,0.35366,0.70126,0.16851,0.97224,0.35451,-1.58465,0.20497,-1.06920,-1.99741,0.08058,0.05245,0.32499,0.03338,0.92540,0.77070,4.61624,0.33640,-0.19685,0.00702,-0.17774,-0.21569,-0.00005,0.00030,0.00088,-0.00045,0.08297,0.00608,0.09453,0.07487,1.46666,0.00957,1.48315,1.45070,12.72516,0.38402,13.67239,11.59926,2.93571,0.31797,3.75270,1.99900,18.15788,0.67364,19.43121,16.50695,4.20489,2.30878,8.70879,-4.16846,0.01058,0.00350,0.01491,0.00000,0.00506,0.00202,0.00972,0.00000,0.03142,0.01369,0.06241,0.00000,0.00368,0.00139,0.00692,0.00000,0.15743,0.01318,0.20329,0.11804
15,17.35051155090332,32000,-75.43175,-128.99480,nan,3.06379,2.04673,12.23983,3000.00000,-0.32953,0.03090,-0.25034,-0.42647,0.34633,0.02143,0.39656,0.27889,0.58185,0.12160,0.75414,0.25126,-1.33403,0.15442,-0.94504,-1.56877,0.05952,0.03055,0.21644,0.02954,0.80275,0.55387,3.42687,0.35842,-0.19760,0.00652,-0.17840,-0.21449,0.00003,0.00030,0.00095,-0.00030,0.08547,0.00440,0.09457,0.07988,1.49651,0.00752,1.50943,1.48335,12.67400,0.37102,13.61010,11.82816,2.86892,0.30057,3.55681,2.09486,17.89364,0.48384,18.84058,16.46427,4.25960,1.97204,7.77762,0.56412,0.00976,0.00327,0.01349,0.00000,0.00406,0.00147,0.00705,0.00000,0.02333,0.00910,0.05302,0.00000,0.00353,0.00141,0.00748,0.00000,0.15231,0.01294,0.21341,0.12335
16,18.062318086624146,34000,-77.76060,12.38319,nan,2.95314,2.01511,13.09382,2529.50000,0.10939,0.08215,0.38690,-0.17335,0.76266,0.14836,1.16857,0.46655,2.00711,1.21114,5.98565,0.91410,-3.31736,0.77556,-1.49485,-4.97149,0.36243,0.19935,0.98073,0.11739,1.90130,0.77935,5.27430,0.91854,-0.20309,0.00786,-0.18792,-0.22801,-0.00008,0.00039,0.00092,-0.00163,0.09051,0.00601,0.10263,0.08346,1.52592,0.00906,1.53975,1.50957,12.92239,0.34227,13.75268,11.96728,2.81915,0.25327,3.41192,2.22523,18.12999,0.67337,19.08414,16.48205,4.86934,1.66481,8.55795,1.55280,0.01091,0.00421,0.02666,0.00000,0.01302,0.01186,0.05094,0.00000,0.08897,0.08270,0.30422,0.00000,0.00310,0.00122,0.00545,0.00000,0.16759,0.03770,0.37245,0.11680
17,17.153533220291138,36000,-82.32347,4.21321,nan,2.79598,2.09828,12.25909,3000.00000,0.26969,0.03399,0.34589,0.18363,0.40337,0.02615,0.47983,0.32686,1.28564,0.14259,1.53229,0.95140,-0.88999,0.28066,-0.46266,-1.63304,0.10041,0.02881,0.28633,0.06202,1.01939,0.38400,3.42187,0.62019,-0.19580,0.00574,-0.18093,-0.21346,0.00013,0.00028,0.00103,-0.00024,0.08891,0.00518,0.10282,0.08477,1.55152,0.00607,1.56193,1.54003,12.52959,0.36884,13.68566,11.53655,2.86404,0.24854,3.44806,2.21073,17.91324,0.50984,18.82557,16.53690,4.69099,1.64457,8.40292,1.65176,0.00870,0.00285,0.01276,0.00000,0.00324,0.00104,0.00522,0.00000,0.01861,0.00616,0.03007,0.00000,0.00334,0.00137,0.00557,0.00000,0.15356,0.01095,0.19337,0.13119
18,17.036176681518555,38000,-86.43140,0.68989,nan,2.79640,2.18024,12.05936,3000.00000,0.23068,0.02647,0.30649,0.16292,0.30794,0.02586,0.38285,0.24613,1.28370,0.22979,1.72546,0.73495,-0.57719,0.16884,-0.27258,-1.00210,0.06685,0.01774,0.15275,0.03977,0.79210,0.28817,2.24149,0.44491,-0.19728,0.00712,-0.17715,-0.21920,-0.00017,0.00031,0.00088,-0.00061,0.09335,0.01003,0.11013,0.07986,1.58369,0.01285,1.60517,1.56209,12.71666,0.37484,13.96358,11.87595,2.88669,0.28029,3.78499,2.15885,18.08641,0.66678,19.45895,16.12002,4.63697,1.90328,8.47496,0.41832,0.01175,0.00349,0.01683,0.00000,0.00633,0.00261,0.01360,0.00000,0.04051,0.01920,0.09104,0.00000,0.00373,0.00133,0.00692,0.00000,0.16982,0.02021,0.23995,0.13144
19,17.721258878707886,40000,-87.16812,-11.52093,nan,2.86478,1.98182,12.87447,1262.00000,0.13227,0.02342,0.21126,0.06385,0.30095,0.01841,0.34959,0.24597,0.99001,0.16823,1.30381,0.69119,-0.67009,0.14019,-0.38112,-0.95636,0.05731,0.01326,0.13143,0.03356,0.65101,0.18306,1.76743,0.37267,-0.20016,0.00588,-0.18615,-0.22044,0.00021,0.00030,0.00110,-0.00018,0.09016,0.00823,0.11016,0.08309,1.61908,0.00759,1.63206,1.60544,12.89416,0.33292,14.02437,12.01791,2.72560,0.26520,3.33667,2.11452,17.87985,0.68527,19.10834,16.38739,4.88180,1.92712,9.18027,0.53003,0.00788,0.00283,0.01211,0.00000,0.00324,0.00119,0.00571,0.00000,0.01838,0.00691,0.03510,0.00000,0.00290,0.00127,0.00529,0.00000,0.15228,0.01258,0.19770,0.12532
