po_returns_mean_ec3e1807-f015-4258-87bd-16c8352d0c33,po_returns_median_ec3e1807-f015-4258-87bd-16c8352d0c33,po_returns_std_ec3e1807-f015-4258-87bd-16c8352d0c33,po_returns_max_ec3e1807-f015-4258-87bd-16c8352d0c33,po_returns_min_ec3e1807-f015-4258-87bd-16c8352d0c33,po_len_mean_ec3e1807-f015-4258-87bd-16c8352d0c33,po_len_std_ec3e1807-f015-4258-87bd-16c8352d0c33,noise_std_ec3e1807-f015-4258-87bd-16c8352d0c33,learning_rate_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_returns_mean_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_returns_median_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_returns_std_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_len_mean_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_len_std_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_n_episodes_ec3e1807-f015-4258-87bd-16c8352d0c33,theta_norm_ec3e1807-f015-4258-87bd-16c8352d0c33,grad_norm_ec3e1807-f015-4258-87bd-16c8352d0c33,update_ratio_ec3e1807-f015-4258-87bd-16c8352d0c33,episodes_this_step_ec3e1807-f015-4258-87bd-16c8352d0c33,episodes_so_far_ec3e1807-f015-4258-87bd-16c8352d0c33,timesteps_this_step_ec3e1807-f015-4258-87bd-16c8352d0c33,timesteps_so_far_ec3e1807-f015-4258-87bd-16c8352d0c33,time_elapsed_this_step_ec3e1807-f015-4258-87bd-16c8352d0c33,accept_theta_in_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_returns_mean_best_in_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_returns_mean_best_with_ckpt_in_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_returns_mean_theta_from_others_in_ec3e1807-f015-4258-87bd-16c8352d0c33,eval_returns_mean_proposal_from_others_in_ec3e1807-f015-4258-87bd-16c8352d0c33,time_elapsed_so_far,iteration
824.1578194513687,1958.6104686489732,2587.3423097807568,2482.2631850320963,-11510.96061870729,1996.201171875,61.99871280318414,0.01998,0.009999000000000001,1601.5628814686922,2365.875621186958,1570.6958162312385,1999.0,0.0,5,114.63845025180672,6322.3935546875,0.0630673507023811,256,256,1022055,1022055,186.8908405303955,flat_proposal,,,flat_2285.7969735926113,flat_2257.925899398164,287.42767119407654,150
1265.4057946129465,2093.6002779803766,1739.25029515311,2515.867525368751,-5664.109541608616,1987.98046875,95.58636683534046,0.01970209092724004,0.009985010495451365,2508.5068860804945,2508.5068860804945,0.0,1999.0,0.0,5,126.25639638659618,6593.9697265625,0.01702249374126765,256,4096,1017846,16340073,189.16936039924622,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2356.5686158501776,flat_2257.925899398164,3138.5046784877777,165
1723.882238185845,2222.689716595308,1537.1508288607415,2631.916682135305,-12954.017766435363,1996.0625,40.624807691852524,0.01940861934526171,0.009970043459427395,2568.1505581485712,2568.1505581485712,0.0,1999.0,0.0,5,133.67292680138365,7042.748046875,0.013742292163701934,256,7936,1021984,31667978,186.84141635894775,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2390.495207656317,flat_2257.925899398164,5972.098170518875,180
1711.2845359182209,2294.8496053987487,2132.316787086226,2636.9930112703764,-12399.241916774137,1997.849609375,26.004935676423276,0.019119519155626808,0.00995509885824888,2707.353198374422,2707.353198374422,0.0,1999.0,0.0,5,139.91285681898682,6725.6279296875,0.013203867771303054,256,11776,1022899,46994897,191.85048961639404,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_1866.0345278860761,flat_2257.925899398164,8818.966985940933,195
2121.7750403497357,2417.7032585708403,1570.322309195567,2740.022344482703,-12088.410458129394,1999.0,0.0,0.018834725244463356,0.0099401766582871,2692.77215400168,2692.77215400168,0.0,1999.0,0.0,5,145.9097921643051,5937.701171875,0.012494158767379866,256,15616,1023488,62340598,190.89265894889832,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2298.6477996387844,flat_2257.925899398164,11692.210527420044,210
2222.5172262499455,2454.8154234808294,1365.9926200811333,2726.3520577020668,-12597.185235111938,1999.0,0.0,0.01855417346780002,0.00992527682596374,2692.8867037300183,2692.8867037300183,0.0,1999.0,0.0,5,151.58025967445406,7478.5869140625,0.012625995171889125,256,19456,1023488,77692571,284.10450983047485,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2309.7244202444267_c30dce29-c18e-4e1d-bad9-676a2bbe73cf_2163.3633074629806,flat_2257.925899398164,14861.52757692337,225
2373.471551419062,2506.2267002755225,1046.7149292390675,2765.944121889743,-11364.398424289626,1999.0,0.0,0.01827780063711903,0.009910399327750822,2689.6692808886987,2689.6692808886987,0.0,1999.0,0.0,5,157.57488836271298,6854.169921875,0.012055831019541809,256,23296,1023488,93042718,282.08505153656006,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2198.038006164794_c30dce29-c18e-4e1d-bad9-676a2bbe73cf_2029.4613025901508,flat_2257.925899398164,19134.639263391495,240
2282.851672461853,2566.1270788900083,1828.7362404468236,2824.040410719076,-13443.133345524297,1999.0,0.0,0.01800554450512425,0.009895544130170611,2810.892481916828,2810.892481916828,0.0,1999.0,0.0,5,162.78476980453448,6311.15625,0.011861939079504285,256,27136,1023488,108392267,288.7446799278259,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2538.0419601210606_c30dce29-c18e-4e1d-bad9-676a2bbe73cf_2537.962890486623,flat_2257.925899398164,23559.595022201538,255
2450.4209518539783,2623.9340144989355,1272.3290237791828,2840.110093820667,-12914.69904034076,1999.0,0.0,0.017737343751721264,0.009880711199795571,2869.7313998308687,2869.7313998308687,0.0,1999.0,0.0,5,168.14672322407517,7289.9443359375,0.012218611627822633,256,30976,1023488,123743290,296.30912470817566,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2482.300818838728_c30dce29-c18e-4e1d-bad9-676a2bbe73cf_2412.084447150152,flat_2257.925899398164,28091.04673552513,270
2363.5942034873506,2631.490500105965,1794.100319915325,2838.223274790263,-13088.66187356999,1999.0,0.0,0.01747313797020627,0.009865900503248263,2822.8560259894607,2822.8560259894607,0.0,1999.0,0.0,5,173.19141060311767,7274.2255859375,0.012103952592839945,256,34816,1023488,139094948,298.83926796913147,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2478.001747878528_c30dce29-c18e-4e1d-bad9-676a2bbe73cf_2450.1755969247283,flat_2257.925899398164,32559.50599884987,285
2280.7347185454096,2635.6645297685386,2085.8976947889287,2840.736576805325,-11684.530280235093,1999.0,0.0,0.017212867653660723,0.009851112007201283,2799.1388882941515,2799.1388882941515,0.0,1999.0,0.0,5,179.86328000382818,7383.60498046875,0.011619808394673576,256,38656,1023488,154445884,393.65608739852905,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2570.48955343153_c30dce29-c18e-4e1d-bad9-676a2bbe73cf_2566.703522391874_dc7b1c98-c850-4529-bcbf-75119c7c93e9_2188.133787196855,flat_2257.925899398164,37717.920072078705,300
2433.7821414435757,2647.7731417758105,1560.7424680417514,2881.667617337389,-11901.161538717604,1999.0,0.0,0.016956474181548626,0.009836345678377179,2574.6079197086738,2574.6079197086738,0.0,1999.0,0.0,5,186.82999814793675,7296.24755859375,0.011869640454854275,256,42496,1023488,169795967,380.67571544647217,ec3e1807-f015-4258-87bd-16c8352d0c33,,,flat_2511.4431659814168_c30dce29-c18e-4e1d-bad9-676a2bbe73cf_2548.803783037178_dc7b1c98-c850-4529-bcbf-75119c7c93e9_2466.1001741141276,flat_2257.925899398164,43752.185613155365,315
