po_returns_mean_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,po_returns_median_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,po_returns_std_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,po_returns_max_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,po_returns_min_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,po_len_mean_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,po_len_std_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,noise_std_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,learning_rate_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_returns_mean_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_returns_median_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_returns_std_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_len_mean_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_len_std_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_n_episodes_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,theta_norm_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,grad_norm_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,update_ratio_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,episodes_this_step_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,episodes_so_far_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,timesteps_this_step_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,timesteps_so_far_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,time_elapsed_this_step_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,accept_theta_in_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_returns_mean_best_in_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_returns_mean_best_with_ckpt_in_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_returns_mean_theta_from_others_in_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,eval_returns_mean_proposal_from_others_in_c30dce29-c18e-4e1d-bad9-676a2bbe73cf,time_elapsed_so_far,iteration
813.7757969230436,1911.1584959460417,2539.7980504403226,2447.063067513572,-11776.649480283431,1992.1015625,56.100334201844056,0.01998,0.009999000000000001,2498.416833607955,2528.1441018027226,66.93068044231148,1999.0,0.0,5,153.40193426854438,6758.599609375,0.05447897000535702,256,256,1019956,1019956,285.9349591732025,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2409.4426281077162_ec3e1807-f015-4258-87bd-16c8352d0c33_-1402.1875785794853,,292.4314570426941,225
1793.5906815118303,2088.5200222720996,1167.8259203867765,2441.708085233153,-11582.619696079451,1996.0234375,33.857748107834844,0.0196823888363128,0.00998401199440182,2250.8919761052116,2250.8919761052116,0.0,1999.0,0.0,5,163.6136193178138,5533.61669921875,0.014153345710684974,256,4096,1021964,16339466,284.18345308303833,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2144.132910386133_ec3e1807-f015-4258-87bd-16c8352d0c33_-1976.347131066579,,4565.532851934433,240
1997.2366739176782,2180.12686624149,735.8688971417424,2530.929554560459,-3452.5907026316036,1999.0,0.0,0.01938921072591645,0.009969046455081452,2426.2981975823227,2426.2981975823227,0.0,1999.0,0.0,5,171.95664127877313,5257.23046875,0.011800134469952334,256,7936,1023488,31677362,290.85192108154297,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2463.4300520984802_ec3e1807-f015-4258-87bd-16c8352d0c33_-1686.5147241101379,,8990.493560314178,255
2106.805521743618,2248.8266489513794,665.1364969864553,2619.6867784263477,-4017.3166044829854,1999.0,0.0,0.019100399636471182,0.009954103348363056,2433.4024143579777,2433.4024143579777,0.0,1999.0,0.0,5,178.74558410456075,5749.919921875,0.011415751529173474,256,11776,1023488,47025616,298.46546602249146,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2539.0384775723214_ec3e1807-f015-4258-87bd-16c8352d0c33_2090.5040918011123,flat_2518.191869677346,13521.919001817703,270
2298.5945115259638,2362.9567927836843,316.1114171434474,2638.6203153343517,-602.1189329147796,1999.0,0.0,0.018815890519218892,0.009939182640621273,2672.388031644599,2672.388031644599,0.0,1999.0,0.0,5,184.74374898610324,5259.74072265625,0.011158230198816071,256,15616,1023488,62376487,301.18407678604126,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2555.974757989635_ec3e1807-f015-4258-87bd-16c8352d0c33_2413.0912821137313,flat_2518.191869677346,17990.394424438477,285
2374.3105423198285,2413.7533124995853,184.53423027803717,2661.075114090454,1034.3440198587039,1999.0,0.0,0.01853561929433222,0.009924284298281145,2674.3784239116117,2674.3784239116117,0.0,1999.0,0.0,5,190.58395438461315,5607.353515625,0.010874957500181158,256,19456,1023488,77728382,395.83769154548645,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2570.7853491925803_ec3e1807-f015-4258-87bd-16c8352d0c33_2218.123636715564_dc7b1c98-c850-4529-bcbf-75119c7c93e9_2121.6192256296385,flat_2518.191869677346,23148.826906204224,300
2438.6225835697037,2460.490104509091,143.65362131469092,2698.59518315265,953.2677141943254,1999.0,0.0,0.018259522836481912,0.009909408287818047,2704.516183702141,2704.516183702141,0.0,1999.0,0.0,5,196.48867370613138,5544.9716796875,0.01049203853249651,256,23296,1023488,93080702,382.84858870506287,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2648.0691740303473_ec3e1807-f015-4258-87bd-16c8352d0c33_2180.3816731507604_dc7b1c98-c850-4529-bcbf-75119c7c93e9_2259.6608126390925,flat_2518.191869677346,29183.050839185715,315
2467.0059286420346,2492.186219178425,190.43936473204243,2735.006785936343,-779.8227885206559,1999.0,0.0,0.017987538960619127,0.009894554575757594,2706.8470801177955,2706.8470801177955,0.0,1999.0,0.0,5,203.24475839253,5696.08203125,0.010526598539829972,256,27136,1023488,108431331,394.88635993003845,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2592.7525859689513_ec3e1807-f015-4258-87bd-16c8352d0c33_2405.231460820097_dc7b1c98-c850-4529-bcbf-75119c7c93e9_2425.267493340892,flat_2518.191869677346,35165.45161437988,330
2507.6827184464496,2518.838442971723,113.77578102129154,2743.0959627544066,1762.5363920212608,1999.0,0.0,0.017719606407969542,0.009879723128675591,2778.448390887486,2778.448390887486,0.0,1999.0,0.0,5,209.08871977129724,5782.0087890625,0.010223033348278995,256,30976,1023488,123782624,393.57760787010193,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2662.865642055563_ec3e1807-f015-4258-87bd-16c8352d0c33_2401.52083617999_dc7b1c98-c850-4529-bcbf-75119c7c93e9_2510.0903304558324,flat_2518.191869677346,41245.752395153046,345
2529.6152376321065,2577.8366772144664,430.26360684550167,2784.6234496451443,-5130.395972596285,1999.0,0.0,0.017455664832236064,0.009864913913197939,2758.3013351326763,2758.3013351326763,0.0,1999.0,0.0,5,213.9133563334816,5519.58203125,0.010509696686361173,256,34816,1023488,139134944,391.13344955444336,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2590.2129473133637_ec3e1807-f015-4258-87bd-16c8352d0c33_2353.5759570576024_dc7b1c98-c850-4529-bcbf-75119c7c93e9_2529.5322458102805,flat_2518.191869677346,47209.716282606125,360
2577.6434621265103,2606.981595070848,263.03921315558136,2809.4412891336547,-2796.849917371021,1999.0,0.0,0.017195654786007063,0.009850126896000563,2778.5801376302575,2778.5801376302575,0.0,1999.0,0.0,5,220.109047113582,7132.3486328125,0.010765377423339257,256,38656,1023488,154487168,486.36308789253235,c30dce29-c18e-4e1d-bad9-676a2bbe73cf,,,flat_2590.4075929099085_ec3e1807-f015-4258-87bd-16c8352d0c33_1773.1786961182665_dc7b1c98-c850-4529-bcbf-75119c7c93e9_2577.2448136131657_e3653398-afec-4958-ac16-5d867338ab64_1769.5713307719184,flat_2518.191869677346,54061.34302973747,375
