EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,new_actions/mean_Mean,new_actions/mean_Std,new_actions/mean_Max,new_actions/mean_Min,new_actions/std_Mean,new_actions/std_Std,new_actions/std_Max,new_actions/std_Min,new_actions/max_Mean,new_actions/max_Std,new_actions/max_Max,new_actions/max_Min,new_actions/min_Mean,new_actions/min_Std,new_actions/min_Max,new_actions/min_Min
12,32.37646436691284,69000,-1372.38084,-417.47749,nan,3.05686,10.36563,18.95377,5000.00000,-0.06200,0.00881,-0.03089,-0.09030,0.05243,0.02917,0.39066,0.01919,0.05064,0.02612,0.37931,0.01903,-11.23153,1.15914,-7.69434,-15.63541,0.07614,0.04485,0.23253,-0.01765,0.97461,0.01274,0.99578,0.93218,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
13,31.782732486724854,72000,-1393.65036,-627.30069,nan,3.21323,9.89741,18.67192,5000.00000,-0.06797,0.01074,-0.03092,-0.11077,0.10643,0.05237,0.81760,0.03692,0.10666,0.05338,0.56220,0.03846,-15.39551,1.74753,-11.16279,-20.07502,0.19762,0.04783,0.29639,0.05197,0.95225,0.01922,0.99504,0.91057,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
14,31.53662943840027,75000,-1410.88839,-296.38032,nan,3.00425,10.18987,18.34236,5000.00000,-0.06952,0.01023,-0.03327,-0.10355,0.10700,0.04043,0.36852,0.04279,0.10532,0.03787,0.34543,0.04137,-19.43305,1.61527,-14.22587,-23.63069,0.04923,0.07765,0.23587,-0.13505,0.91164,0.02500,0.95711,0.84555,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
15,31.37009882926941,78000,-1341.43335,-262.41272,nan,3.17317,9.77665,18.42008,3933.00000,-0.07054,0.00999,-0.04069,-0.10359,0.12051,0.04627,0.44449,0.05032,0.12234,0.04996,0.48172,0.05104,-23.21775,1.41526,-19.07466,-27.22749,0.04139,0.03879,0.14308,-0.03295,0.92064,0.01805,0.94676,0.85700,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
16,32.490577697753906,81000,-1297.10628,-192.14508,nan,3.04063,10.07410,19.37569,3894.75000,-0.06997,0.00971,-0.03738,-0.10085,0.13345,0.05810,0.69147,0.05326,0.13418,0.05728,0.66250,0.04912,-26.32700,1.45794,-21.37893,-30.13345,-0.15991,0.04953,-0.01305,-0.28032,0.92072,0.01024,0.94537,0.89400,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
17,32.04172492027283,84000,-1268.28520,-145.53753,nan,3.21125,10.55371,18.27656,3289.50000,-0.06977,0.01017,-0.04096,-0.10187,0.13753,0.07402,0.95052,0.04688,0.13843,0.07507,1.04161,0.05170,-28.80182,1.26236,-24.51002,-32.24667,-0.17819,0.02372,-0.11598,-0.24148,0.92285,0.00774,0.94143,0.89446,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
18,33.258238792419434,87000,-926.40312,-194.73981,nan,3.06838,10.57206,19.61762,4795.25000,-0.06917,0.00982,-0.03980,-0.11090,0.14030,0.08138,1.47235,0.05267,0.13849,0.08417,1.60308,0.05262,-31.25700,1.62546,-26.60377,-35.44136,-0.33313,0.12112,-0.15658,-0.52575,0.85309,0.05426,0.92893,0.74331,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
19,32.78186273574829,90000,-1413.37057,-279.67789,nan,3.21908,10.56213,19.00049,5000.00000,-0.06959,0.00947,-0.04003,-0.10161,0.18288,0.10138,1.20476,0.05835,0.18363,0.11014,1.34098,0.07259,-34.55956,1.52461,-29.84459,-39.11145,-0.29147,0.03022,-0.21923,-0.47414,0.83621,0.01354,0.87050,0.76960,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
20,32.530338525772095,93000,-1274.94932,-235.59757,nan,3.22687,10.34478,18.95850,3908.00000,-0.06972,0.01009,-0.04113,-0.11032,0.19676,0.09919,1.31203,0.05980,0.19702,0.09927,1.40460,0.05916,-36.76593,1.29518,-32.78019,-40.33634,-0.32141,0.04364,-0.19115,-0.40294,0.82321,0.01942,0.86731,0.76215,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
21,32.17832612991333,96000,-1254.79595,-319.77093,nan,3.13245,9.66636,19.37934,5000.00000,-0.07180,0.00997,-0.04305,-0.10704,0.17362,0.09352,1.18469,0.06491,0.17445,0.09307,1.16734,0.05328,-38.77685,1.35760,-33.30671,-42.82912,-0.37305,0.02779,-0.30180,-0.44793,0.80355,0.01468,0.84714,0.76478,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
