po_returns_mean_flat,po_returns_median_flat,po_returns_std_flat,po_returns_max_flat,po_returns_min_flat,po_len_mean_flat,po_len_std_flat,noise_std_flat,learning_rate_flat,eval_returns_mean_flat,eval_returns_median_flat,eval_returns_std_flat,eval_len_mean_flat,eval_len_std_flat,eval_n_episodes_flat,theta_norm_flat,grad_norm_flat,update_ratio_flat,episodes_this_step_flat,episodes_so_far_flat,timesteps_this_step_flat,timesteps_so_far_flat,time_elapsed_this_step_flat,accept_theta_in_flat,eval_returns_mean_best_in_flat,eval_returns_mean_best_with_ckpt_in_flat,eval_returns_mean_theta_from_others_in_flat,eval_returns_mean_proposal_from_others_in_flat,time_elapsed_so_far,iteration
-6576.258740754671,-4737.652539717821,5036.430393199521,-423.9727484597885,-17840.003430959146,2833.35546875,474.4355513575767,0.01998,0.019998000000000002,-4063.427387129198,-4045.3346267342667,448.7428093103505,2999.0,0.0,5,46.018241411513905,3735.91455078125,0.20208518798631994,256,256,1450678,1450678,1734.7737891674042,self,,,,,1734.7845792770386,0
239.9641014656616,600.3378709717118,1017.5921131131248,1118.0493467986287,-6011.517703176179,2999.0,0.0,0.0196823888363128,0.01996802398880364,964.8965813126731,964.8965813126732,1.1368683772161603e-13,2999.0,0.0,5,83.2454830759825,7410.2607421875,0.041221264234158124,256,4096,1535488,24482998,174.321870803833,self,,,,,4269.86781001091,15
860.0548491280329,1063.6026661540932,629.9608115510571,1340.9812606640098,-3898.490285123348,2999.0,0.0,0.01938921072591645,0.019938092910162904,1169.1377207393919,1169.1377207393919,0.0,2999.0,0.0,5,115.36195100603919,6521.0341796875,0.029886715104086015,256,7936,1535488,47515318,167.36797666549683,self,,,,,6819.664139032364,30
1165.5735015192388,1215.5675737567854,286.70157942072467,1408.1155831048618,-2844.0838993056923,2999.0,0.0,0.019100399636471182,0.019908206696726112,1337.359862193276,1337.359862193276,0.0,2999.0,0.0,5,144.61100519449474,6865.0537109375,0.02663497189167903,256,11776,1535488,70547638,161.8616235256195,self,,,,,9291.788291215897,45
1401.7107361878666,1425.9826046594524,139.80419385519056,1605.8520676828052,45.075194587091445,2999.0,0.0,0.018815890519218892,0.019878365281242545,1597.7872721813474,1597.7872721813474,0.0,2999.0,0.0,5,171.39314023891959,4959.37109375,0.02295973414194349,256,15616,1535488,93579958,164.57236742973328,self,,,,,11733.750576019287,60
1589.242976903526,1611.5532759804782,119.11281192387028,1776.8295740654073,459.8870816054747,2999.0,0.0,0.01853561929433222,0.01984856859656229,1784.3949559577372,1784.3949559577372,0.0,2999.0,0.0,5,195.35531000223762,5955.90771484375,0.02046036727751693,256,19456,1535488,116612278,176.1678237915039,self,,,,,14307.046913862228,75
1622.7208906189753,1660.7633710458726,153.5463610041706,1826.3070979115264,415.41328707794906,2999.0,0.0,0.018259522836481912,0.019818816575636094,1841.9011207475735,1841.9011207475733,2.2737367544323206e-13,2999.0,0.0,5,218.50072755444978,6298.8125,0.020277643040038623,256,23296,1535488,139644598,155.92069578170776,self,,,,,16729.138651132584,90
1736.3113812845338,1763.7750944476059,115.39575274751031,1910.895003805013,904.3651362299519,2999.0,0.0,0.017987538960619127,0.01978910915151519,1936.8726488613906,1936.8726488613904,2.2737367544323206e-13,2999.0,0.0,5,241.42475514882122,6648.013671875,0.01900272466462538,256,27136,1535488,162676918,167.4765763282776,self,,,,,19159.39652657509,105
1743.2032029789311,1778.7257649391634,161.35942305058208,1972.1488056155715,585.1203878975473,2999.0,0.0,0.017719606407969542,0.019759446257351182,1943.8433851220477,1943.843385122048,2.2737367544323206e-13,2999.0,0.0,5,262.891554199904,6337.244140625,0.018467453784541062,256,30976,1535488,185709238,359.13165760040283,self,,,,,22839.3798763752,120
1651.6057291326056,1817.631360116095,1523.9049090920535,1988.156580480677,-18730.92726197989,2999.0,0.0,0.017455664832236064,0.019729827826395877,2007.4121681374927,2007.4121681374927,0.0,2999.0,0.0,5,289.42304019216937,8030.2763671875,0.01866904498149233,256,34816,1535488,208741558,3090.6667444705963,self,,,,,42331.64759063721,135
1762.6559750080628,1855.3265411896095,1189.8746394615507,2005.4961690548535,-17223.91018148146,2999.0,0.0,0.017195654786007063,0.019700253792001125,1969.9590848491757,1969.9590848491755,2.2737367544323206e-13,2999.0,0.0,5,313.1469189451074,6679.2158203125,0.01723149183138396,256,38656,1535488,231773878,2887.453769683838,self,,,,,80910.59807991982,150
